SAN SEVERO,TERMOLI
-1.0,-0.5
12.0,10.5
19.5,22.0
-0.5,-1.0
0.0,-0.5
6.5,6.0
3.0,1.5
-0.5,0.0
3.5,11.0
17.0,16.5
-0.5,1.5
-0.5,-1.0
2.0,0.0
4.5,11.0
6.5,6.0
1.0,1.0
-1.0,-0.5
-0.5,-1.5
4.5,4.5
-0.5,3.0
-0.5,-0.5
1.5,0.5
5.5,6.5
-1.0,1.5
0.0,1.0
-1.0,1.5
1.0,1.5
12.5,9.5
-0.5,2.0
-0.5,-1.0
1.0,1.0
2.0,1.5
0.5,0.5
7.0,10.0
6.0,4.5
10.0,12.0
-0.5,0.0
0.0,-1.0
0.0,-1.0
6.5,7.0
0.5,-0.5
-0.5,-1.0
-0.5,-1.5
28.5,26.5
1.0,0.0
-1.5,0.5
24.0,22.0
0.0,-1.5
0.5,0.0
5.0,6.0
9.0,11.5
-0.5,-1.5
-1.0,-1.5
-1.0,3.0
0.0,4.0
-0.5,3.0
2.5,3.5
7.0,10.0
-1.0,-1.0
-0.5,-1.5
3.5,2.5
3.0,2.0
0.0,1.5
1.0,-0.5
4.5,3.5
11.5,11.0
-1.0,-1.5
9.5,8.5
-0.5,-1.5
0.5,5.5
21.5,22.5
0.5,-0.5
-1.0,-2.5
11.0,10.5
5.0,5.5
2.5,2.5
-0.5,0.0
-0.5,-0.5
5.0,2.0
-1.5,4.0
4.0,4.5
1.0,-0.5
0.0,-0.5
2.0,0.5
-0.5,0.5
0.5,0.5
0.5,4.0
0.5,10.0
0.5,-1.0
-1.0,-1.5
0.5,-1.0
0.0,-1.5
5.5,4.5
11.5,10.0
1.0,4.0
10.5,10.5
7.0,10.0
3.5,6.0
-0.5,-0.5
0.5,-1.0
1.5,0.5
-0.5,-1.5
0.5,7.5
20.0,27.0
10.0,10.5
2.0,1.0
2.5,8.0
-1.0,1.0
25.5,28.0
-1.0,6.5
1.0,-1.0
2.0,1.5
9.0,9.0
5.0,4.0
1.5,0.0
11.5,12.5
1.5,-0.5
5.5,3.5
-1.0,2.0
3.5,2.5
0.0,-1.0
1.0,1.5
1.5,0.0
0.5,4.0
1.0,3.0
-0.5,-1.5
0.0,6.0
3.0,2.0
0.0,0.0
0.0,3.5
0.5,0.5
0.5,0.5
0.5,0.0
-0.5,1.0
-0.5,-0.5
2.0,0.5
0.5,-1.0
3.0,2.5
8.0,6.5
8.5,9.0
0.0,-1.5
4.0,3.5
