CASTELBOLOGNESE,LUGO
1.5,-1.5
4.0,0.0
7.5,3.0
1.0,-2.0
9.0,4.0
4.5,2.0
3.5,0.5
7.0,5.5
0.0,-3.0
0.5,-3.0
1.5,-3.0
1.0,-2.5
1.5,-2.5
1.5,-1.0
4.0,-0.5
4.0,0.0
4.5,1.0
1.0,-2.0
2.5,-1.0
3.0,2.0
6.0,1.5
0.5,-3.5
0.5,-3.0
2.5,-1.0
11.0,6.5
2.5,-2.0
2.0,-2.5
6.5,2.5
5.5,1.5
0.0,-4.0
10.5,6.5
2.0,-1.0
1.5,-2.0
8.5,4.0
6.5,1.5
1.0,-3.0
2.0,-2.5
1.0,-1.5
16.0,16.0
0.5,-2.5
1.5,-3.0
2.0,-1.5
1.5,-1.5
3.5,0.0
0.0,-3.5
1.0,-3.0
4.0,-1.0
1.5,4.5
6.5,2.0
3.5,-0.5
3.0,-0.5
-0.5,-4.5
1.0,2.5
6.5,2.5
2.0,-1.5
2.0,0.5
3.5,-0.5
6.5,6.5
1.5,-1.5
2.0,-2.5
1.5,-2.5
8.5,4.0
2.5,1.0
2.5,0.0
4.0,1.0
2.5,-1.5
3.5,0.0
2.0,-2.0
1.0,-1.0
1.0,-2.0
14.5,12.0
4.0,0.0
6.5,2.0
1.5,-1.5
0.0,-4.0
7.5,4.0
6.5,2.0
2.0,-1.5
1.5,-1.0
0.0,-3.5
2.0,5.0
1.5,-2.5
0.5,-3.0
1.0,-3.0
1.5,-2.5
1.5,-1.5
2.5,-1.5
1.5,-2.5
2.0,-1.5
1.0,0.0
8.5,3.5
13.5,9.0
3.5,0.0
1.0,-3.5
17.5,13.0
15.0,10.0
4.5,2.5
1.5,-2.5
3.0,-0.5
1.0,-2.0
0.5,-4.5
1.0,-3.5
6.5,2.5
1.5,-2.5
0.5,-1.0
2.0,0.0
0.5,-3.5
9.0,4.5
2.0,-2.0
5.5,1.0
4.5,2.5
5.5,2.0
1.5,-1.5
2.5,-0.5
6.0,1.0
6.5,5.0
2.5,-0.5
19.0,16.0
3.5,-0.5
2.5,0.5
4.5,0.5
0.5,-2.5
4.0,-0.5
0.5,4.5
1.0,5.0
9.5,5.0
0.5,-2.5
5.5,1.5
1.0,-2.5
2.0,-1.5
2.5,0.5
2.5,-2.0
2.0,-2.0
3.5,0.5
2.0,-2.0
1.5,-1.5
2.5,-1.0
4.0,0.0
1.0,-3.5
1.0,-1.0
1.0,-2.0
