TORINO PORTA SUSA,TORINO P.NUOVA
1.0,1.0
0.0,0.5
-1.0,-1.5
0.0,1.0
-1.5,-2.5
-1.0,2.0
-1.0,-1.5
6.0,4.5
-2.0,0.5
1.5,2.0
3.5,4.0
-2.5,-3.5
0.5,-2.0
-2.0,-3.0
-2.0,2.0
2.5,1.0
-3.0,-2.0
1.0,-0.5
14.0,15.0
12.0,11.0
2.5,2.0
17.0,15.5
1.5,1.5
3.0,2.5
-1.5,-0.5
-0.5,-2.0
1.0,-1.0
4.0,3.0
-2.5,-2.5
9.5,15.5
71.0,74.0
2.0,0.5
2.5,2.0
8.5,9.5
0.0,-2.0
25.0,24.0
0.5,-0.5
6.5,6.5
-1.5,-2.5
4.0,5.0
-2.0,1.0
-2.5,-2.5
4.0,2.5
-4.0,1.5
-2.0,1.5
-0.5,-1.0
9.5,9.0
11.5,9.5
-1.5,-3.0
-3.0,-2.5
3.0,1.5
-1.0,-1.0
9.5,8.0
5.5,7.0
26.5,25.5
2.5,1.0
0.5,-1.0
-1.0,-0.5
4.5,4.0
0.5,3.0
2.5,1.0
-3.5,1.0
62.0,63.0
0.0,1.5
1.0,0.0
25.0,24.0
19.0,19.0
4.0,2.0
2.5,2.0
21.5,21.0
7.0,5.0
9.0,9.5
-1.0,-0.5
-1.0,3.5
9.0,13.0
2.5,3.0
2.5,2.0
40.0,41.0
-0.5,-0.5
2.5,1.0
2.5,3.0
14.0,13.5
1.0,0.5
-2.5,-3.0
52.0,51.5
9.5,9.0
5.0,3.0
0.5,-1.0
0.5,0.0
41.5,43.5
0.0,1.0
5.0,4.0
3.5,2.0
2.0,2.0
3.5,3.0
3.0,4.0
12.5,11.0
0.5,-0.5
-3.0,-2.5
3.0,1.5
-0.5,-0.5
2.0,2.0
80.5,80.0
6.5,6.0
19.5,17.5
1.5,2.5
23.0,21.5
5.5,3.5
0.5,-1.0
7.5,6.0
19.5,20.0
-3.5,0.5
-0.5,-1.5
-0.5,-1.0
7.5,7.0
4.0,3.0
2.5,4.0
2.5,2.0
6.5,6.5
14.0,12.5
18.5,21.0
80.5,78.5
22.5,23.5
-3.0,-3.5
51.5,51.0
0.5,0.5
2.5,1.0
1.5,0.5
-0.5,-1.5
7.5,10.5
10.0,10.5
0.5,-0.5
-2.0,0.5
36.0,37.5
3.5,3.0
-1.5,-1.5
2.0,1.5
-1.0,0.5
10.0,15.0
5.0,3.0
-0.5,1.0
-2.0,-3.0
13.0,12.0
18.0,16.5
-2.5,-4.0
3.5,1.5
36.5,48.0
-1.0,-3.0
3.5,2.0
2.5,3.0
-1.5,0.0
4.5,2.5
93.5,99.5
3.0,1.5
40.5,40.5
17.0,16.0
83.5,84.0
0.0,0.5
-1.0,-1.0
0.0,1.5
-1.0,-2.5
0.5,-0.5
14.0,12.5
