FIRENZE S.M.N.,FIRENZE RIFREDI
14.5,16.5
1.0,0.0
0.0,-0.5
0.5,0.5
0.0,0.0
0.5,0.0
1.0,0.5
2.0,1.5
0.5,0.0
1.5,1.5
0.0,-0.5
1.0,0.5
0.0,0.0
0.5,1.0
2.0,1.5
0.5,0.5
8.5,8.5
3.0,2.5
2.0,1.5
0.5,0.0
0.5,-0.5
0.5,0.0
2.5,2.0
0.5,0.5
0.5,0.0
0.0,-0.5
1.5,1.5
0.5,0.0
1.0,0.5
1.5,1.5
0.5,0.0
2.0,1.5
0.0,2.5
3.5,3.5
0.0,1.0
1.5,0.5
0.5,-0.5
0.5,1.0
1.5,0.5
2.5,2.0
1.0,0.5
0.0,0.5
0.5,0.0
1.0,0.5
2.5,2.5
0.5,0.0
0.0,0.0
1.0,1.5
0.5,3.5
0.0,1.5
4.0,4.0
1.0,2.0
4.0,3.5
11.0,10.5
0.5,0.5
28.0,27.5
11.0,11.0
1.0,0.5
0.5,1.5
2.5,2.0
1.0,0.0
2.0,1.5
3.5,3.5
0.5,0.0
0.5,4.5
1.0,1.0
0.5,1.5
0.5,0.5
0.5,0.0
0.5,0.5
0.5,0.0
1.0,1.5
0.0,0.5
0.5,0.0
0.5,0.5
0.5,0.0
6.5,6.0
0.5,1.5
1.0,0.5
0.0,0.0
0.5,0.5
0.5,1.0
0.0,-0.5
0.5,1.5
0.0,0.0
1.5,1.0
0.0,0.0
22.5,22.0
0.5,0.0
1.0,1.5
1.0,1.5
0.0,-0.5
1.0,0.5
1.0,1.0
0.0,-0.5
2.0,1.5
0.5,0.0
0.5,1.5
0.5,1.0
1.0,0.5
0.5,0.0
0.5,1.0
1.5,1.5
1.5,2.5
1.0,1.0
2.0,1.0
21.5,21.5
0.0,0.5
2.0,1.5
0.5,1.0
3.5,3.0
0.0,0.0
1.5,1.0
0.5,0.0
0.0,2.5
1.5,2.0
1.5,1.0
0.0,-0.5
0.5,0.5
6.5,6.5
1.5,1.5
0.5,0.5
3.5,3.0
0.5,1.0
0.5,0.0
7.0,7.0
0.5,-0.5
0.5,0.5
0.5,0.5
12.5,12.5
0.0,-0.5
0.5,0.0
1.0,0.5
0.5,0.0
0.0,0.0
0.5,0.0
0.5,0.5
0.5,0.0
0.5,1.0
0.0,-0.5
0.5,1.0
2.5,1.5
2.5,2.0
1.0,1.5
6.5,7.0
0.0,0.0
1.5,1.5
1.5,1.0
2.0,1.5
2.5,1.5
1.0,0.5
1.5,1.5
1.0,1.0
0.0,0.0
