MANTOVA,BORGOCHIESANUOVA
1.5,0.5
1.5,0.5
1.5,0.5
1.5,0.5
2.0,0.5
1.0,0.0
4.5,3.5
1.5,0.5
3.5,3.0
3.5,2.5
2.5,1.5
6.0,5.0
2.5,1.0
1.5,0.5
3.5,3.0
1.0,0.5
1.5,0.0
6.0,5.0
2.5,1.5
1.0,0.0
1.0,0.0
1.0,-0.5
4.5,3.0
2.5,1.5
1.5,0.5
1.5,0.5
2.0,0.5
2.0,0.5
2.5,2.0
1.5,1.0
1.5,0.5
1.5,1.0
1.5,0.5
10.5,10.0
1.0,0.0
1.5,0.5
3.5,3.0
1.0,-0.5
3.5,3.0
1.0,-0.5
4.0,3.0
1.5,0.5
2.5,1.0
1.5,0.5
1.0,-0.5
2.5,1.5
1.0,0.0
1.0,0.0
2.0,1.0
2.5,1.5
10.5,9.5
1.5,1.0
1.5,0.0
2.0,1.0
2.0,1.0
1.0,0.0
1.5,0.5
1.5,0.5
3.0,2.0
1.5,0.5
2.0,0.5
1.5,0.0
2.5,2.0
1.5,0.0
2.0,1.5
2.5,1.5
4.5,3.5
3.5,3.0
1.5,0.0
1.5,0.0
24.5,24.5
11.0,9.5
19.0,17.5
1.5,0.5
2.0,0.5
2.0,1.5
3.0,2.0
9.5,8.5
1.5,0.5
2.0,1.0
2.5,1.5
1.5,0.5
4.5,3.5
5.0,3.5
3.0,2.0
1.5,0.5
1.5,0.0
2.0,1.0
3.0,2.0
2.0,1.0
1.5,0.5
3.0,2.0
5.0,4.0
2.0,1.0
12.0,11.5
1.5,0.0
1.0,0.0
2.0,1.0
1.5,0.0
1.0,0.0
1.5,0.0
2.5,1.5
4.5,3.5
1.5,0.5
1.5,0.5
2.5,1.5
6.5,5.5
6.0,5.0
1.5,1.0
1.5,0.5
1.0,0.0
4.5,3.0
11.5,10.5
2.5,1.5
29.0,28.0
2.5,1.0
3.0,2.0
7.0,5.5
7.5,6.5
7.0,6.0
5.0,4.0
2.5,1.5
1.5,1.0
6.5,6.0
2.0,1.0
1.5,1.0
2.0,1.0
2.0,0.5
7.0,6.0
4.5,4.0
3.0,2.0
1.5,0.5
4.0,3.0
3.0,2.0
7.5,7.0
1.5,0.0
0.5,-0.5
1.5,0.0
1.5,1.0
1.5,0.0
1.0,0.0
2.0,1.0
4.0,2.5
5.5,4.5
1.5,0.0
8.5,7.5
1.5,1.0
2.0,1.0
8.0,7.0
2.5,1.5
1.5,0.5
1.5,1.5
14.5,13.5
9.0,8.0
1.5,0.0
11.5,10.5
2.0,1.0
2.0,0.5
85.0,84.5
2.0,0.5
1.5,0.0
1.5,1.0
1.5,0.5
8.0,7.0
1.5,0.5
3.0,1.5
1.0,0.0
1.0,-0.5
2.5,1.5
6.5,5.5
1.5,0.0
7.0,5.5
3.0,2.0
1.0,0.0
2.0,0.5
3.0,2.0
1.5,0.5
2.0,0.5
1.5,0.5
1.5,1.5
3.5,2.5
1.5,0.5
1.5,0.5
5.0,3.5
0.5,-0.5
1.5,0.5
2.0,1.0
1.0,0.0
3.5,2.0
2.5,1.0
1.5,0.0
3.5,2.0
2.0,1.0
1.5,0.5
2.5,1.0
2.5,1.5
4.5,3.5
1.5,0.5
1.5,0.5
3.5,2.0
1.0,0.0
1.5,0.0
1.0,0.0
2.0,1.0
3.0,2.0
1.5,0.5
3.5,2.5
2.5,1.0
1.0,0.0
1.5,0.5
22.0,21.5
9.5,8.5
5.0,3.5
3.5,2.5
7.5,6.5
1.5,0.0
4.5,3.5
22.0,21.0
4.0,2.5
3.0,2.5
1.0,0.0
1.5,0.0
13.0,12.0
7.0,7.5
4.5,3.5
1.0,0.5
3.5,2.5
7.0,6.0
1.5,0.5
4.0,3.0
2.5,2.0
1.5,0.0
4.0,3.0
5.0,4.0
7.0,6.5
1.5,1.0
1.5,0.5
2.0,0.5
4.0,3.5
1.5,1.0
2.0,1.0
2.0,1.0
4.5,4.0
3.0,1.5
4.0,3.5
4.0,2.5
6.5,5.5
3.0,2.5
5.0,3.5
1.0,0.0
2.5,1.0
5.5,4.0
1.5,0.5
1.5,0.0
5.0,4.0
2.5,1.5
2.0,0.5
2.0,1.0
2.0,1.0
3.0,2.0
1.5,0.5
2.0,1.0
1.5,0.5
1.5,0.0
1.5,0.5
1.5,0.5
26.5,25.5
1.5,1.5
5.0,4.0
12.0,11.0
1.5,1.0
4.0,3.0
5.0,4.0
10.0,8.5
1.0,0.0
1.0,0.0
2.5,2.0
9.0,7.5
3.5,2.5
5.5,5.0
2.0,1.0
8.0,7.0
1.5,2.0
2.5,1.0
1.5,0.0
1.5,0.0
2.0,0.5
1.5,0.5
2.0,1.0
54.5,53.0
2.0,0.5
2.5,1.5
1.5,0.5
2.0,0.5
3.0,1.5
2.0,1.0
1.5,1.0
2.0,1.0
5.0,4.0
6.5,5.5
16.0,15.5
8.5,7.5
5.5,4.5
5.5,4.5
1.5,0.5
2.0,1.0
2.5,2.0
1.5,0.0
2.0,1.5
2.5,1.5
12.0,11.0
1.0,0.5
5.5,4.5
8.0,7.0
7.5,6.5
7.5,6.5
1.0,-0.5
4.5,3.0
7.0,6.0
51.5,52.0
1.5,0.0
1.5,0.5
1.0,0.0
1.0,0.0
3.5,3.0
2.0,0.5
2.0,0.5
2.5,1.5
1.5,0.5
3.5,4.5
1.5,0.0
9.0,8.5
12.5,11.5
1.5,1.0
0.5,-0.5
4.0,2.5
2.0,1.0
5.0,3.5
6.5,5.0
1.0,0.0
2.5,1.5
8.0,7.0
2.5,1.5
2.0,1.0
1.5,0.5
1.5,0.5
2.5,1.0
1.5,0.0
10.5,10.0
2.0,1.0
2.0,1.0
3.0,1.5
5.5,4.5
1.5,0.5
1.5,0.5
4.5,3.5
6.5,5.5
6.0,4.5
17.0,16.0
88.5,87.0
1.5,0.5
2.0,1.0
12.5,11.0
1.5,0.0
21.0,20.0
3.5,2.0
15.5,14.0
1.5,0.0
2.5,1.5
5.0,3.5
1.0,0.5
2.5,2.0
2.5,1.5
1.5,0.5
6.0,5.0
1.0,0.0
6.0,5.0
4.0,3.5
5.0,3.5
5.5,4.5
2.0,0.5
4.5,3.5
1.0,0.0
