ROMA TIBURTINA,ROMA TERMINI
12.0,11.0
25.0,21.0
15.0,10.0
6.5,2.0
7.0,2.0
9.0,4.0
23.0,18.0
15.5,11.0
8.5,4.0
15.5,11.0
13.5,8.0
5.0,1.0
14.5,10.0
25.0,26.0
4.0,2.0
18.0,13.0
17.0,12.0
10.5,7.0
14.0,10.0
8.0,3.0
8.5,4.0
11.5,8.0
4.0,1.0
51.0,47.0
17.0,13.0
1.5,1.0
17.5,13.0
278.0,277.0
8.0,4.0
10.0,5.0
13.0,8.0
25.0,24.0
53.0,52.0
16.5,12.0
12.0,10.0
6.5,2.0
33.0,29.0
12.5,9.0
4.0,1.0
9.0,4.0
14.0,11.0
15.5,11.0
11.5,10.0
7.0,5.0
12.0,7.0
16.5,12.0
21.5,20.0
13.0,9.0
8.0,7.0
9.5,7.0
14.0,10.0
28.5,24.0
12.5,8.0
5.0,1.0
11.0,6.0
6.0,3.0
10.0,6.0
16.0,12.0
15.0,11.0
26.0,21.0
22.0,18.0
8.5,5.0
10.5,8.0
14.5,11.0
25.5,24.0
-0.5,-4.0
9.5,4.0
10.0,5.0
12.0,7.0
17.0,11.0
2.5,-2.0
12.5,7.0
9.0,5.0
24.0,20.0
26.0,21.0
24.0,19.0
30.0,26.0
17.0,14.0
16.5,13.0
13.0,9.0
11.0,7.0
9.0,4.0
12.0,7.0
13.0,10.0
9.5,4.0
44.5,41.0
5.0,0.0
67.5,66.0
24.5,19.0
6.5,2.0
15.5,11.0
14.0,9.0
4.0,0.0
19.0,14.0
12.5,9.0
15.5,15.0
7.5,4.0
32.0,28.0
11.0,6.0
8.0,4.0
4.0,0.0
16.0,14.0
33.5,29.0
9.5,6.0
10.0,5.0
2.5,0.0
16.5,12.0
21.0,17.0
14.5,10.0
3.5,0.0
7.5,6.0
20.5,17.0
6.5,2.0
7.5,5.0
9.5,5.0
7.5,3.0
21.0,21.0
13.0,12.0
18.5,14.0
66.5,63.0
40.5,38.0
1.5,-2.0
7.5,5.0
5.0,2.0
13.0,9.0
24.5,22.0
20.5,17.0
14.0,10.0
22.0,19.0
5.5,3.0
4.0,0.0
15.0,14.0
15.0,11.0
8.0,4.0
7.5,3.0
21.0,17.0
17.0,14.0
11.5,10.0
27.5,28.0
7.5,5.0
16.5,14.0
27.5,25.0
18.5,20.0
32.0,27.0
2.0,3.0
11.5,8.0
13.5,13.0
6.5,3.0
44.0,44.0
9.0,6.0
15.0,10.0
6.0,1.0
7.5,3.0
10.5,6.0
4.5,3.0
19.5,16.0
6.5,2.0
10.5,5.0
13.5,9.0
21.0,15.0
13.0,9.0
20.0,17.0
