CASALPUSTERLENGO,LODI
-2.5,0.5
16.0,16.0
-1.0,2.0
4.0,7.0
1.0,2.0
1.0,1.5
1.5,4.0
0.5,1.0
-1.0,0.0
0.0,2.0
1.5,2.5
-2.0,0.0
2.0,3.0
-3.5,-1.0
2.0,3.5
2.5,4.0
-0.5,6.5
6.5,8.5
0.0,1.5
2.5,4.0
1.0,7.0
-1.0,0.5
1.5,3.0
0.5,2.0
-0.5,1.5
0.0,1.5
5.5,6.0
1.0,2.5
3.0,3.0
7.0,14.0
-1.0,0.5
0.5,2.0
4.0,5.5
88.5,93.5
0.0,0.5
3.0,3.5
74.5,77.0
-1.5,-1.0
3.0,5.0
3.0,3.0
1.5,4.5
0.0,1.5
-1.0,1.5
5.5,6.0
1.0,1.0
8.0,9.5
-2.5,1.0
1.0,2.5
-2.0,1.0
0.0,1.0
-1.5,0.5
0.0,2.5
-2.5,0.5
-2.5,1.5
-2.0,0.5
-1.5,0.0
1.0,2.5
-1.5,0.5
2.5,3.5
-2.0,-0.5
-0.5,2.0
-3.0,1.0
2.0,3.0
2.5,7.5
3.0,4.5
-1.0,2.5
1.5,2.0
-3.0,0.0
-1.5,3.5
3.0,4.0
3.5,5.0
-0.5,5.5
-1.5,1.0
3.5,4.0
0.5,1.0
2.0,4.0
-0.5,0.0
5.0,5.0
86.0,88.0
1.0,1.5
0.5,0.0
5.0,9.5
-1.0,0.0
-2.5,0.0
-3.0,8.0
-0.5,0.0
-3.0,0.0
1.0,2.0
-1.5,0.5
5.5,10.5
3.5,4.5
5.0,5.0
2.0,2.5
-3.0,1.0
-3.0,-1.0
5.0,6.0
4.0,4.5
1.0,2.0
0.0,0.5
1.5,3.5
2.5,4.0
-2.0,0.5
-2.5,1.5
-1.0,2.5
1.5,2.5
-1.0,1.5
7.0,8.0
0.0,0.0
-2.0,0.5
1.0,2.5
2.5,3.5
-1.5,0.5
-2.0,1.5
2.5,4.0
-1.0,0.0
0.5,4.0
3.0,3.0
-1.0,0.0
6.0,9.5
3.5,4.0
1.5,2.5
3.5,6.0
6.0,8.0
-0.5,0.5
5.5,6.5
-3.0,1.0
1.5,3.0
5.0,7.0
7.5,9.0
1.5,2.5
0.0,1.5
-3.0,0.0
-2.5,0.5
-1.5,0.0
-2.0,0.0
-2.0,0.5
-3.0,-0.5
-1.5,2.5
-1.0,0.0
5.0,7.0
-2.0,1.5
0.0,0.5
5.5,6.0
-0.5,2.0
