PIADENA,ASOLA
2.5,3.0
5.5,4.5
6.0,6.5
14.0,15.5
4.5,5.5
4.5,5.5
10.0,11.0
-2.5,4.5
10.5,14.0
7.0,8.5
6.0,8.0
9.5,9.5
6.5,6.5
7.5,8.5
10.0,11.5
7.0,8.5
6.5,6.5
2.5,3.0
13.5,16.0
5.5,5.5
2.5,1.5
2.0,1.0
5.0,7.5
6.0,7.0
3.0,6.0
4.0,5.0
6.5,8.5
7.0,8.0
7.0,9.5
6.5,7.0
3.5,6.0
0.5,0.5
6.5,7.0
7.5,11.0
4.5,4.5
6.0,7.0
5.0,4.5
10.0,12.0
2.5,3.5
10.5,12.0
13.5,14.0
0.0,6.5
6.0,9.5
6.0,6.0
3.5,4.0
1.0,2.5
9.0,9.5
4.0,5.0
10.5,13.5
16.0,18.0
7.5,8.0
11.0,13.0
5.0,6.0
1.5,2.5
15.5,16.0
3.5,3.5
3.0,3.0
-0.5,1.5
2.0,6.0
6.0,9.0
5.5,7.0
11.5,13.0
