POGGIO RENATICO,GALLIERA
10.0,13.5
5.0,5.5
7.0,10.5
9.0,11.0
34.5,36.0
12.0,12.5
9.0,12.0
9.5,10.5
11.5,12.5
1.5,2.5
10.5,12.0
13.0,14.0
7.0,9.0
9.5,11.0
2.0,3.5
4.0,5.5
3.0,4.0
1.5,5.0
10.0,11.5
3.5,5.0
10.0,12.5
12.0,13.5
14.0,15.5
15.5,18.5
6.5,9.0
1.5,2.5
8.0,10.0
8.0,11.5
6.0,8.0
10.5,12.0
9.5,10.0
7.5,10.0
3.0,6.0
8.0,10.0
12.0,14.0
6.0,8.0
12.0,14.5
0.0,3.0
3.5,5.5
4.0,7.5
2.5,3.0
8.0,9.0
9.5,11.0
7.0,9.0
8.5,10.0
10.0,11.5
9.5,10.5
4.5,6.0
12.0,14.0
10.0,10.5
4.5,6.5
7.5,9.5
8.0,11.5
1.0,3.0
2.5,6.5
9.5,11.0
1.5,2.5
6.0,8.0
1.5,2.0
2.0,3.5
1.5,2.5
5.5,6.0
-0.5,2.0
12.0,12.5
10.5,12.0
2.5,4.5
4.5,4.5
7.5,9.5
11.0,12.5
23.0,25.0
2.0,2.5
9.5,11.0
9.0,10.0
16.0,18.0
6.0,7.5
4.5,5.5
5.5,6.5
3.0,7.0
13.0,15.0
11.5,13.0
1.0,3.0
6.5,8.0
0.5,3.0
3.0,5.0
3.5,4.5
7.5,9.0
7.0,8.0
5.0,8.5
0.0,2.0
1.5,2.5
7.5,9.0
4.5,6.5
4.5,6.5
2.0,4.0
6.5,6.5
6.0,8.0
3.5,5.5
7.0,8.0
6.5,8.0
5.0,8.0
4.0,5.0
7.5,10.5
12.5,13.5
3.5,6.0
2.0,5.0
6.5,7.0
2.0,3.5
1.0,2.5
0.0,2.0
6.0,7.5
8.5,10.0
7.0,8.0
13.0,19.5
1.0,2.5
7.5,9.0
6.5,7.5
7.0,8.0
1.5,5.0
6.5,8.5
8.5,9.5
8.0,9.0
6.0,9.0
1.0,3.0
5.5,7.0
8.5,10.0
13.0,14.5
6.0,8.5
10.0,11.5
3.0,4.5
4.5,4.5
4.0,5.5
13.5,15.0
3.0,4.0
6.5,17.0
23.0,26.0
6.0,8.0
14.5,16.5
2.0,2.5
13.5,13.5
9.5,10.5
3.5,4.5
4.0,6.0
8.5,10.5
6.5,8.0
4.0,4.0
1.0,2.0
1.5,3.5
10.5,11.5
10.0,11.5
8.5,8.5
7.5,8.0
2.5,3.0
