BARI CENTRALE,MOLFETTA
-1.0,-3.0
-2.0,15.5
5.0,19.5
-1.0,-2.5
-1.0,-3.5
12.0,8.0
3.5,7.5
-1.0,-1.0
1.0,3.5
-4.0,0.0
0.0,-3.5
-1.5,-4.5
1.5,-2.5
-0.5,-5.0
0.0,-2.5
-1.0,-4.0
-2.5,-1.5
-3.5,-5.0
0.0,-3.0
-1.5,-5.0
0.5,-3.5
5.0,1.0
-1.0,0.5
-0.5,-4.0
0.5,-3.5
0.5,-2.0
10.5,5.5
0.0,20.5
0.5,-5.0
-1.0,-4.5
-0.5,-3.5
5.0,8.0
-2.0,-0.5
-0.5,6.0
3.0,1.5
-2.0,11.5
-3.5,-5.0
-1.5,-3.0
1.0,-1.5
4.0,1.0
1.0,1.5
0.0,-3.5
-3.0,-4.0
-1.0,-2.0
3.5,-2.0
4.0,-1.0
36.5,34.0
-0.5,-2.0
-0.5,-3.5
0.0,-3.0
-3.0,-3.5
-2.5,-4.0
-1.0,-3.0
-0.5,-4.5
-2.5,-4.5
0.0,-4.5
2.5,-2.0
-2.0,12.0
1.5,3.0
-2.0,-4.0
4.5,2.0
-1.5,-4.5
1.0,-1.0
-1.0,-4.0
-1.0,-3.5
20.5,17.5
0.5,-3.0
5.5,4.0
-3.5,-3.0
9.5,6.5
-2.0,-3.0
0.5,-3.0
-1.5,-4.0
-1.0,-4.0
2.5,-2.0
-1.0,-3.5
6.0,0.5
-0.5,-2.0
1.0,0.0
-4.0,-4.5
10.0,6.5
-1.5,-2.5
-1.0,-3.0
2.0,-3.5
-1.5,-3.0
1.5,-2.5
-1.0,-3.0
0.0,-2.5
1.0,-2.5
0.0,4.0
9.0,7.5
2.5,0.0
-2.5,-3.0
-2.0,-1.5
13.0,6.5
-1.0,-4.5
-0.5,-2.0
1.0,6.0
-3.0,-4.0
0.5,-1.5
-0.5,-4.0
0.5,-4.0
1.5,-2.0
11.5,8.0
20.5,20.0
-2.5,-2.5
2.0,5.0
-2.5,-2.5
8.0,21.0
-2.5,-4.0
1.0,0.0
-3.0,-4.5
1.5,4.0
-3.0,7.5
-2.0,0.0
-0.5,-3.0
3.5,3.5
-0.5,-4.0
-1.0,-3.5
0.0,-4.5
0.0,-1.0
0.5,-3.0
13.0,8.0
11.5,8.0
-0.5,-3.0
1.0,-2.0
0.0,-4.0
8.0,6.0
0.0,-2.5
-2.0,-5.0
-1.0,-5.0
0.5,2.5
1.5,-4.0
5.0,3.0
-0.5,-3.5
3.5,0.5
4.5,9.0
0.0,2.5
-2.0,15.5
-3.5,0.5
-2.5,-4.0
0.0,8.5
