TERONTOLA CORTONA,CHIUSI C.T.
26.5,25.5
5.0,4.0
1.5,2.0
7.5,7.5
27.0,26.0
20.5,19.5
2.5,2.5
22.5,22.0
23.5,23.0
28.5,27.0
21.0,22.0
8.0,9.0
14.0,13.0
2.5,1.5
26.0,26.0
62.5,60.5
5.0,5.0
3.5,4.5
24.5,24.0
19.0,16.5
38.0,36.5
5.5,7.5
25.0,24.0
27.5,27.5
2.5,2.0
30.5,30.0
10.5,9.5
24.5,23.0
3.0,3.0
15.0,14.0
12.5,11.5
21.5,20.5
90.0,89.5
3.5,5.0
1.5,2.0
53.0,51.0
26.5,25.5
1.0,0.5
43.5,42.0
63.0,67.5
11.5,24.5
10.0,9.5
28.0,27.0
5.0,3.5
24.0,23.0
5.5,5.5
8.5,10.0
46.5,45.5
20.0,19.0
29.5,28.5
44.0,44.5
38.5,38.0
4.5,9.0
8.0,7.0
10.0,9.0
0.0,0.5
6.0,9.5
5.5,4.5
24.5,26.5
5.0,4.0
6.0,6.5
9.5,13.5
25.0,24.0
35.5,36.5
25.5,23.5
27.0,25.0
25.0,25.0
14.5,13.5
11.5,10.5
11.5,14.5
3.0,2.5
8.0,7.5
21.5,21.0
8.5,10.0
62.5,62.5
22.0,20.5
26.0,26.5
6.0,6.0
5.5,6.0
11.0,17.5
70.5,69.5
6.5,6.0
9.0,8.0
7.0,8.5
0.5,1.0
5.0,5.0
6.5,6.0
25.5,25.5
7.5,9.0
0.5,-0.5
12.5,11.5
5.5,4.5
6.5,7.5
2.0,1.0
14.0,13.5
102.5,101.0
17.0,16.0
8.0,7.0
73.5,72.0
15.0,13.5
5.5,4.0
1.5,0.5
23.0,22.0
9.0,8.0
3.0,1.5
8.0,8.0
4.5,4.0
15.5,14.0
11.0,15.5
14.0,12.0
27.0,26.5
64.0,63.5
18.5,17.0
46.5,46.0
4.0,5.0
29.5,28.5
7.5,7.5
3.5,4.0
6.5,9.0
5.5,4.5
47.0,45.5
8.0,7.0
45.0,44.5
6.0,6.0
9.0,9.5
17.0,16.0
13.5,12.5
6.0,7.0
69.5,68.0
1.0,0.5
9.5,9.5
