BOLOGNA C.LEAV,VERONA PORTA NUOVA
-2.5,2.0
-2.5,0.5
10.5,9.0
-5.5,4.5
0.5,0.0
10.5,6.5
-2.0,5.0
9.0,9.0
11.5,12.0
4.0,-1.0
10.0,8.5
4.0,2.0
7.5,5.0
5.0,3.5
12.5,9.5
7.0,4.5
3.0,-0.5
0.5,-3.0
5.5,4.0
-1.5,0.0
9.5,9.0
1.0,3.0
16.5,13.0
1.0,1.5
408.0,413.5
5.5,21.0
3.5,0.5
3.5,1.5
20.5,24.5
2.5,1.0
4.0,1.5
1.5,1.5
3.5,7.5
7.5,9.5
16.5,22.0
5.0,4.5
3.0,3.0
4.0,5.5
6.5,5.0
9.0,5.5
13.5,10.0
7.0,3.5
6.5,3.5
-1.5,-2.5
-3.0,5.5
6.0,8.0
20.0,18.0
7.0,3.0
1.0,4.5
9.0,13.0
1.5,1.5
27.0,28.0
-4.0,2.0
3.0,2.5
17.0,16.0
10.5,8.5
8.0,5.0
0.5,1.0
5.0,3.0
3.5,3.0
24.0,22.5
5.0,3.5
12.0,13.5
0.0,5.5
11.0,9.0
2.0,-1.0
5.5,8.0
0.0,0.5
-3.5,-2.5
36.5,34.0
9.5,8.5
9.5,6.0
12.5,11.0
2.5,0.0
4.5,8.5
1.5,0.5
5.5,1.0
-4.0,-3.5
14.0,11.0
38.0,44.5
1.0,5.0
0.5,1.5
4.0,1.0
24.0,19.0
2.0,8.5
6.0,11.0
-2.0,8.0
2.5,2.5
7.0,2.5
0.0,3.0
8.5,5.0
5.0,10.0
7.5,4.0
5.0,6.5
4.0,0.5
17.5,13.0
4.5,1.0
21.0,18.0
4.0,0.5
8.0,7.5
12.5,10.5
1.5,1.0
-2.5,4.0
10.0,6.5
-3.5,-2.0
5.5,2.5
18.0,21.5
25.5,28.5
27.0,26.5
-2.0,2.5
5.5,1.5
16.5,33.5
2.5,1.5
-4.5,-2.0
4.5,1.5
12.5,10.5
9.0,139.5
11.0,6.5
48.5,56.0
16.0,13.5
16.5,13.0
10.0,6.5
5.0,4.0
8.5,4.5
9.5,6.5
6.5,3.0
8.5,4.5
-3.0,8.5
4.0,5.0
34.0,29.5
4.5,1.0
10.5,11.5
1.5,6.5
-3.5,-0.5
3.0,3.0
25.0,35.0
2.0,0.0
18.0,15.0
-4.5,2.0
10.0,5.0
0.0,-0.5
3.5,1.5
3.5,-3.5
1.5,3.0
13.5,10.0
20.0,18.5
