AREZZO,ROMA TIBURTINA
4.5,9.0
6.0,11.0
0.5,-0.5
9.5,7.0
6.5,18.0
0.5,10.0
8.5,11.0
4.5,14.0
19.5,20.0
1.5,2.0
2.5,5.5
2.0,2.0
1.0,10.0
9.0,77.0
-1.5,9.0
18.5,24.5
13.5,17.5
7.5,12.0
-2.0,6.5
2.5,1.0
-3.0,6.5
3.5,10.5
8.0,68.0
3.5,13.5
7.5,9.0
9.0,7.5
9.0,8.5
1.5,4.0
4.0,4.5
0.5,1.5
10.5,22.5
12.0,18.0
5.0,6.0
9.0,5.5
9.5,8.0
14.0,20.5
4.5,7.0
2.5,12.0
1.5,3.0
-0.5,4.0
0.5,3.5
-0.5,10.0
13.0,13.5
88.0,87.5
0.5,5.5
-3.0,2.0
25.5,33.5
-4.5,4.5
3.5,5.0
3.0,9.0
-1.5,3.5
17.5,16.5
1.5,22.5
6.5,7.0
-2.5,11.0
6.5,7.0
13.0,14.5
18.0,17.5
2.0,4.5
-3.5,3.0
4.0,4.5
10.0,24.5
7.5,9.0
41.5,43.0
22.5,160.0
2.5,3.0
-3.5,7.0
4.5,8.5
10.5,12.5
14.5,13.5
0.5,2.5
3.0,9.5
9.0,10.5
7.5,10.0
1.0,4.5
20.0,21.5
49.0,48.5
3.0,4.0
0.0,12.0
22.5,31.0
8.0,11.0
15.5,15.0
4.5,2.5
24.0,23.5
4.0,7.5
