FOLIGNO,TERNI
1.5,2.5
3.0,4.5
-2.0,1.0
4.0,4.0
4.5,1.5
3.0,6.0
2.0,4.0
7.5,8.0
4.5,10.5
17.0,18.0
7.5,10.0
-1.0,-0.5
7.0,10.5
-2.0,-0.5
10.0,11.5
10.0,11.0
7.5,8.0
5.0,6.0
1.0,4.0
2.5,4.5
7.0,12.5
34.5,37.0
0.5,-0.5
-0.5,2.5
28.5,30.5
8.5,12.0
4.5,6.0
13.0,14.5
1.0,4.0
6.5,6.5
3.0,4.5
7.5,7.5
8.0,9.0
0.5,1.5
10.5,21.0
8.5,8.5
4.5,111.5
5.5,7.0
-4.0,-1.5
-0.5,3.5
-2.0,1.5
2.0,5.5
-1.5,0.0
18.0,18.5
1.5,3.5
-0.5,0.5
16.0,16.0
3.5,4.5
0.5,5.5
4.5,7.0
-1.0,0.0
1.0,3.0
3.0,8.0
5.5,8.5
7.0,7.0
2.5,6.5
0.5,5.5
8.0,10.0
5.5,5.0
8.0,10.0
-2.5,0.5
4.0,8.5
0.0,-1.5
3.0,6.0
2.5,4.0
0.5,0.5
6.5,6.0
1.5,2.0
8.5,8.0
26.5,26.0
4.5,8.5
2.5,2.0
2.5,-0.5
2.5,6.5
4.0,6.5
14.0,13.5
14.0,16.5
3.5,6.0
0.5,10.5
4.5,18.5
-0.5,-0.5
11.5,14.0
2.5,5.0
-6.0,-2.5
10.0,10.5
-0.5,10.5
1.0,1.0
6.0,8.5
17.0,93.0
14.5,22.0
1.0,4.0
-1.5,2.5
-0.5,4.0
-1.0,2.5
5.5,6.0
6.0,7.5
-1.5,2.0
5.5,8.5
9.5,10.5
-1.5,2.5
1.5,1.5
7.0,10.0
0.5,2.0
2.5,5.0
4.5,4.5
7.0,9.0
15.0,17.0
0.0,9.0
4.0,4.5
7.5,12.5
2.5,4.5
0.5,2.5
5.0,9.0
6.5,11.0
2.5,7.0
2.5,1.0
0.5,0.5
2.0,4.0
1.0,2.5
1.5,2.5
18.0,22.0
6.0,15.0
4.0,4.5
18.5,18.5
7.0,8.5
58.5,62.0
1.5,8.0
1.0,6.0
5.5,10.5
2.5,4.5
-2.0,-0.5
7.0,6.5
-1.5,1.0
12.0,17.0
38.0,49.0
2.0,3.0
2.0,2.5
-1.0,0.0
10.5,16.0
8.0,9.0
13.0,15.5
-2.0,-0.5
11.5,13.0
5.0,6.0
0.5,2.5
1.5,2.0
15.0,17.5
