PRATO PORTA AL SERRAGLIO,PISTOIA
0.0,0.0
2.5,1.0
2.0,1.5
1.0,0.0
6.0,6.0
1.0,-2.0
2.0,0.5
2.0,0.5
2.0,2.0
2.0,0.5
2.5,2.0
3.5,2.5
2.0,4.0
1.5,1.0
3.5,2.0
0.0,-0.5
4.0,2.5
1.5,0.0
0.0,1.5
1.0,-1.0
2.0,1.0
0.5,1.5
2.0,0.5
2.0,1.5
1.5,0.5
3.0,10.5
4.0,29.0
0.5,0.0
4.5,3.0
2.0,0.5
6.0,5.5
0.0,3.5
1.0,1.0
0.0,-1.0
0.0,-1.0
2.0,4.0
2.0,3.5
3.0,4.0
1.0,-1.0
1.0,0.0
1.0,0.0
2.0,0.0
1.0,-0.5
3.0,3.5
2.5,1.5
1.5,1.0
0.0,0.5
6.0,5.5
1.0,0.0
1.0,3.0
9.0,6.5
0.0,0.0
1.0,1.0
2.0,1.0
1.5,0.0
1.0,0.0
1.0,-1.5
1.0,2.0
2.0,2.5
5.0,5.0
1.0,0.0
1.5,2.0
0.0,0.0
1.0,0.0
-1.5,-1.5
3.0,1.0
3.0,0.5
0.0,-0.5
0.5,0.0
-0.5,-1.0
2.0,0.5
1.5,1.0
1.5,0.0
1.0,0.5
2.0,1.0
1.0,0.5
-0.5,-1.0
2.0,2.0
1.0,0.5
1.5,2.0
-0.5,-1.0
4.5,15.5
1.0,-1.0
2.0,5.5
1.5,0.0
1.0,1.5
2.5,1.0
2.0,1.0
4.0,3.0
0.0,-1.5
2.5,0.5
0.0,-0.5
1.5,2.5
10.0,10.0
27.0,28.5
1.5,2.0
1.5,0.5
-1.0,-1.5
0.5,2.0
2.5,1.0
0.0,-1.0
1.5,0.0
5.0,7.5
0.0,-1.0
2.5,1.5
0.0,-1.0
0.5,-1.0
3.5,1.5
1.0,-2.5
2.5,0.5
2.5,1.5
8.0,8.5
1.5,3.5
3.5,2.0
0.5,1.0
1.0,0.5
1.0,0.0
-0.5,-1.0
2.5,3.0
6.0,7.0
0.5,-2.0
2.5,3.5
