PRATO CENTRALE,FIRENZE RIFREDI
6.0,1.5
9.5,4.0
6.0,2.0
11.0,6.0
16.5,12.0
14.0,9.5
125.0,120.5
9.0,4.0
23.5,19.5
14.5,11.0
12.5,8.0
21.0,16.5
4.5,-1.0
23.0,17.0
5.0,2.0
20.5,17.0
48.0,44.5
9.0,4.0
7.0,4.0
17.0,12.5
17.5,14.0
32.5,28.0
5.5,0.0
22.5,17.0
14.5,10.0
2.5,0.0
12.5,9.5
12.0,8.0
7.0,9.0
3.5,-1.5
13.5,9.5
11.5,6.5
18.0,12.5
58.0,53.0
12.0,7.0
91.5,86.0
5.5,1.0
11.5,6.5
26.5,27.5
4.5,-0.5
32.0,27.0
32.5,30.0
4.5,0.5
6.0,1.5
24.0,20.0
129.0,124.5
5.5,0.5
21.0,15.5
13.0,8.0
11.5,6.5
19.5,18.0
19.0,15.0
20.5,17.5
30.5,29.0
33.5,27.5
5.0,-0.5
17.0,12.0
12.0,6.5
7.5,2.0
8.0,3.0
12.0,7.5
13.0,11.0
8.5,3.5
10.5,5.5
11.5,6.5
24.0,20.0
21.0,17.0
21.0,17.0
12.5,9.0
4.5,-0.5
7.5,2.5
8.5,3.5
14.5,11.0
11.5,6.0
8.0,4.0
25.5,20.5
15.0,12.5
11.0,7.5
42.0,37.5
23.5,21.0
17.0,16.0
4.0,0.0
6.0,2.0
5.5,2.0
45.0,40.0
7.0,2.0
9.0,7.5
11.0,5.5
9.0,4.0
5.5,2.5
6.5,2.0
29.0,23.5
6.5,1.5
167.5,163.5
11.0,5.5
8.0,4.5
6.5,4.0
12.0,9.0
6.5,5.5
14.5,11.0
81.0,76.5
20.0,15.5
13.0,6.5
27.0,29.0
19.5,14.5
12.5,7.0
5.5,0.5
17.5,12.0
9.0,2.5
7.0,1.5
10.5,6.0
9.5,6.0
13.0,8.0
7.5,5.5
15.5,11.0
26.5,24.5
50.5,49.0
12.0,8.5
8.5,4.5
28.0,23.5
7.5,4.5
19.0,14.5
14.0,8.0
6.5,1.0
8.5,3.0
1.5,-3.5
21.0,18.5
11.0,6.0
32.0,27.0
9.0,5.0
12.5,8.0
12.0,6.5
7.5,3.0
9.0,4.0
48.5,46.0
8.5,2.5
13.5,8.5
