CASTEL S.GIOVANNI,STRADELLA
6.5,6.0
1.5,0.5
2.0,1.0
4.0,4.5
1.5,1.5
3.0,3.0
4.5,9.0
1.0,0.5
1.5,1.0
1.0,-0.5
3.5,4.0
1.5,0.0
4.0,3.0
4.5,4.0
3.0,2.0
1.0,-0.5
0.0,-1.0
0.5,0.0
2.0,3.0
19.0,17.5
3.0,7.0
1.0,1.0
1.5,1.5
8.5,8.5
2.5,1.0
0.5,-0.5
1.0,1.5
1.5,2.0
2.5,3.0
0.0,0.5
5.0,5.0
0.5,0.0
2.5,1.0
0.5,-0.5
0.0,14.0
1.5,1.0
1.0,0.5
3.5,3.5
1.0,0.0
2.0,0.5
0.5,2.5
1.0,0.0
1.0,0.5
4.5,4.5
1.5,1.0
1.0,2.5
2.5,1.5
20.0,19.5
0.0,0.0
0.0,-1.0
4.0,4.5
1.5,1.0
2.0,2.5
12.0,12.5
2.5,3.0
0.0,1.5
2.5,1.5
5.5,4.5
1.0,1.5
1.0,0.5
0.0,-0.5
-0.5,-1.0
3.5,3.0
3.0,2.0
3.5,5.5
5.5,6.0
2.5,1.0
2.5,2.5
1.5,2.0
0.5,-1.0
24.5,23.0
-1.0,-1.0
1.5,2.5
1.0,1.0
1.0,1.5
1.0,-0.5
1.0,3.5
9.0,10.5
1.0,0.0
3.5,3.0
3.5,3.0
1.5,0.0
26.5,26.5
8.5,9.5
6.0,6.5
14.0,14.5
0.5,-0.5
6.5,6.0
0.5,-0.5
0.5,0.5
0.0,-1.0
3.0,2.0
2.0,11.5
5.0,3.5
10.5,9.5
4.5,4.0
2.5,2.5
2.0,1.5
0.5,-0.5
3.5,3.0
-0.5,1.0
4.0,4.5
0.5,0.5
2.0,2.0
2.0,2.5
1.5,0.5
2.0,1.0
13.0,12.0
3.5,5.0
5.5,6.0
7.0,8.0
2.0,1.5
1.0,2.0
1.5,2.5
1.0,-0.5
4.0,3.5
1.5,2.0
2.5,3.5
2.5,1.5
1.0,0.5
2.5,4.0
1.0,0.5
2.0,2.5
2.0,1.5
0.5,0.5
15.5,14.5
2.5,3.0
-3.5,-1.0
