RAVENNA,CLASSE
-1.5,0.5
-0.5,1.5
-2.0,5.0
3.5,2.0
14.0,8.5
3.5,0.5
4.5,4.0
-1.0,1.5
4.5,4.0
-0.5,2.0
2.5,1.5
-1.5,2.0
-3.0,2.0
1.0,1.0
4.0,6.5
33.5,28.0
6.5,4.5
0.5,1.0
2.5,2.5
-1.0,14.5
5.5,3.5
10.5,7.5
-2.5,0.5
42.0,54.5
5.5,4.5
3.5,2.0
6.0,4.5
-0.5,8.5
2.0,1.5
5.5,4.0
2.0,1.5
-0.5,1.5
5.0,1.0
1.5,2.0
64.5,61.5
0.0,0.5
2.5,1.5
0.0,2.5
1.5,2.0
16.5,14.0
-0.5,1.5
4.0,0.0
10.5,6.5
1.0,1.5
16.0,13.5
7.0,4.0
-2.0,0.5
2.5,0.5
1.5,2.5
5.0,2.0
-1.0,7.0
7.0,4.0
55.0,51.0
5.5,2.0
-2.5,0.5
-2.0,1.0
12.0,7.5
1.0,0.5
1.5,1.5
0.5,1.5
7.0,2.0
3.5,0.5
0.5,2.5
-1.0,2.5
7.0,6.0
-2.0,1.0
1.0,2.0
-1.0,1.0
6.5,1.5
-3.0,1.5
-0.5,1.0
2.0,1.5
1.5,1.5
12.0,6.5
-0.5,2.5
1.0,2.0
5.5,1.5
-1.5,2.0
-1.0,1.0
33.0,28.5
-1.5,1.5
0.0,2.0
-2.0,2.0
7.5,3.5
2.0,1.5
0.0,2.5
12.0,7.0
2.5,2.0
0.5,1.5
-1.5,1.0
4.5,2.5
8.5,3.5
-2.0,1.0
3.5,1.5
2.0,0.5
2.0,1.5
-2.0,2.0
20.5,16.5
-1.0,1.5
4.0,2.0
-0.5,1.5
-1.0,1.5
-0.5,1.0
2.0,1.0
1.5,1.0
5.5,0.5
-1.0,1.0
-0.5,1.0
1.0,3.0
2.0,1.0
-2.5,0.5
-2.0,0.5
-0.5,1.0
5.0,2.5
3.5,0.5
6.0,3.0
9.0,5.0
4.0,1.5
6.0,3.0
1.0,1.0
8.0,3.5
-0.5,3.0
5.0,2.5
7.0,2.0
3.0,2.0
1.0,2.0
1.0,4.5
-0.5,1.0
1.5,1.5
-1.5,1.5
14.5,11.0
-1.5,1.5
13.0,17.0
0.5,0.5
9.5,6.5
5.5,3.5
4.5,-1.0
3.0,1.5
15.0,10.0
8.0,4.5
3.0,1.0
0.0,2.5
-2.5,1.0
