FAENZA,GRANAROLO
1.0,0.0
0.5,-0.5
0.5,0.5
0.5,0.5
13.5,13.0
0.5,0.0
1.0,3.0
0.5,0.5
4.0,3.5
0.5,-0.5
1.0,2.0
1.0,1.5
2.5,1.5
1.0,-0.5
13.0,12.0
0.5,0.0
0.5,-0.5
2.5,2.5
1.0,1.5
1.0,0.5
0.5,-0.5
7.0,5.5
1.0,0.5
7.5,7.0
0.5,-1.0
3.5,4.0
1.0,1.5
9.0,8.0
1.0,0.0
1.0,1.0
2.0,1.5
2.0,1.5
1.0,-0.5
2.5,14.5
0.5,1.0
2.0,1.0
0.5,0.0
4.0,3.5
1.0,2.0
0.5,-0.5
1.0,0.5
1.0,1.0
0.5,0.0
1.0,0.0
2.0,0.5
1.5,2.5
1.0,1.0
1.5,0.0
1.0,0.0
3.0,3.0
0.5,0.0
1.0,1.5
0.5,0.5
1.5,1.0
1.0,-0.5
3.0,3.0
1.0,0.0
2.5,1.5
1.0,0.0
1.5,1.5
1.0,0.0
3.5,2.5
2.0,0.5
4.0,4.0
1.5,1.5
4.5,3.5
1.0,0.0
1.5,2.0
1.0,0.5
1.0,-0.5
0.5,-1.0
1.0,1.0
2.5,2.0
1.0,0.5
1.0,-0.5
2.0,3.5
0.5,1.0
1.0,-0.5
1.0,-0.5
2.0,2.0
0.5,0.5
1.5,1.5
3.5,1.5
1.5,3.0
0.5,0.5
12.5,11.5
1.5,0.0
2.5,2.5
3.5,3.0
19.5,18.5
14.5,14.0
1.0,0.5
0.5,-1.0
1.5,1.5
1.0,1.5
4.5,3.0
0.5,-0.5
1.5,2.0
1.0,1.0
1.0,0.0
0.5,-0.5
34.5,34.0
2.5,3.5
0.5,0.0
3.0,2.0
1.0,-0.5
1.0,1.5
0.5,0.5
3.5,2.0
1.0,-0.5
1.5,4.0
1.0,1.5
2.0,1.0
1.0,-0.5
1.0,2.0
5.0,5.5
21.5,21.0
0.5,-1.0
1.0,2.0
1.0,0.5
2.5,2.0
1.5,0.5
5.0,3.5
0.5,-1.0
2.0,1.5
1.0,0.5
1.0,2.0
1.0,0.5
4.0,2.0
1.0,-0.5
1.0,1.0
3.0,2.0
1.0,0.0
1.0,0.0
2.5,3.0
1.5,1.5
3.5,3.0
1.0,-1.0
2.0,1.5
1.0,0.5
1.0,0.5
1.0,-1.0
1.5,1.0
16.0,15.5
5.0,4.0
0.5,-1.0
0.5,0.5
0.5,-1.0
5.5,5.5
4.5,3.5
1.0,0.0
0.0,-1.0
