LODI,CODOGNO
3.5,3.5
5.0,3.5
0.5,-1.0
5.5,5.5
10.5,13.0
5.5,3.5
2.0,0.0
19.0,18.0
3.5,4.5
5.0,6.0
3.0,3.0
1.5,1.0
11.5,12.5
2.5,0.5
5.0,3.5
7.0,7.5
4.5,2.0
1.5,2.0
32.0,34.5
2.0,1.0
1.5,3.0
6.0,5.0
-0.5,-3.5
4.0,2.5
1.0,-0.5
3.5,3.5
9.5,12.0
7.5,11.0
1.5,3.0
7.0,9.5
9.0,7.5
2.5,4.0
3.5,3.0
2.5,1.0
3.0,0.5
2.0,0.0
2.0,0.0
9.0,24.0
4.0,2.0
3.5,2.0
3.0,4.0
5.0,6.5
6.0,6.0
5.0,4.0
2.0,0.0
4.5,5.0
2.5,3.0
5.0,4.5
4.0,4.0
3.0,1.0
3.0,3.0
1.5,0.0
1.5,0.5
6.0,6.0
5.5,4.0
6.0,4.5
8.0,7.0
3.5,3.5
10.0,11.0
3.5,2.5
1.5,0.5
1.5,-1.0
6.0,5.5
2.0,1.0
2.0,0.5
4.0,3.0
5.0,3.5
3.5,9.5
12.5,14.0
5.5,3.0
6.0,6.0
4.5,4.5
5.0,7.5
6.0,5.0
8.0,8.0
1.0,1.0
2.5,0.0
6.5,4.5
3.5,5.0
0.0,-1.5
14.0,12.0
7.5,8.5
4.0,3.0
0.0,-1.5
8.0,7.5
1.5,0.0
7.0,7.0
8.5,24.0
6.5,6.5
4.0,2.5
28.5,27.5
5.0,5.0
3.5,2.0
6.5,5.0
6.5,5.0
10.0,9.0
6.0,7.5
5.0,3.5
5.5,4.5
5.5,3.5
3.0,4.5
4.0,4.0
2.5,1.5
3.0,2.0
3.0,2.5
7.0,6.0
4.0,2.0
16.0,16.0
6.0,6.0
4.0,10.0
0.0,-1.5
5.0,5.5
2.5,1.5
-1.0,-3.5
4.5,3.5
4.0,4.5
5.5,5.5
1.0,-1.0
21.5,20.5
3.0,5.5
7.5,6.5
2.5,3.5
2.5,1.0
5.0,5.0
3.0,5.0
2.0,1.5
7.0,6.5
2.0,-0.5
3.5,3.0
4.0,4.0
9.5,8.0
6.0,6.5
0.5,1.0
5.0,3.5
4.0,3.0
6.5,7.0
4.0,4.0
4.5,4.5
4.5,3.5
6.0,6.5
4.0,4.0
2.0,-0.5
15.0,14.5
3.0,5.5
0.5,-1.5
4.0,2.0
3.0,3.0
