MILANO CENTRALE,BOLOGNA C.LEAV
4.5,4.0
4.5,0.0
1.0,-3.5
4.0,3.0
2.0,-1.5
7.0,1.5
0.5,-5.0
-2.0,31.0
3.0,1.5
