S.NICOLO',PIACENZA
19.0,18.0
1.5,0.5
-0.5,-0.5
54.5,54.5
7.0,6.5
-1.0,2.0
-1.5,-1.0
4.0,4.0
1.0,1.0
0.0,0.5
-0.5,-1.5
0.0,-1.0
-2.0,0.5
1.5,0.5
6.5,6.0
0.5,1.0
4.5,8.0
2.5,2.5
-1.5,-3.0
2.5,2.0
-2.5,0.0
13.0,13.0
0.0,1.0
0.0,0.5
-1.0,1.5
-1.5,-1.0
25.0,28.5
-0.5,0.0
2.5,1.0
31.5,33.5
-1.0,-0.5
-1.0,-0.5
-1.5,-1.0
0.5,1.5
-1.5,-0.5
3.0,2.0
3.5,3.0
-0.5,-0.5
2.5,3.0
-3.0,-1.5
-1.5,0.0
3.5,4.0
-2.0,-2.0
1.5,2.5
-1.0,-1.5
-0.5,-1.0
-0.5,0.5
0.5,11.5
-0.5,0.0
-0.5,-0.5
0.0,0.5
-1.5,-1.0
0.0,0.5
-1.0,-0.5
21.5,21.0
-1.5,-0.5
-0.5,-0.5
0.5,0.5
14.0,12.5
-0.5,0.0
1.5,3.5
0.5,0.0
2.5,2.5
0.0,0.5
-0.5,0.5
-2.0,-1.0
-3.0,-1.0
-2.5,-1.0
6.5,8.5
-0.5,-1.0
-0.5,0.5
2.5,2.5
1.0,4.0
0.5,0.5
2.0,1.5
-1.5,-1.5
1.5,6.0
-1.0,0.5
9.5,9.5
-2.0,-1.0
93.5,94.0
-1.5,-1.0
1.5,0.0
0.0,-0.5
0.5,1.0
4.0,7.5
39.5,39.0
-0.5,-2.0
-0.5,-1.5
-0.5,2.5
0.0,-2.0
-0.5,1.5
-2.0,-1.0
0.0,0.5
2.5,4.0
0.5,0.0
1.0,2.0
-1.5,-0.5
2.5,2.5
1.0,1.5
-2.0,-0.5
-0.5,-0.5
-1.5,-1.5
-2.0,0.0
0.0,-1.0
0.0,3.0
-0.5,-2.0
-1.5,2.0
21.0,19.5
0.0,-1.5
0.0,0.5
-1.0,0.0
1.0,0.5
-1.5,-0.5
-0.5,-2.0
1.0,0.5
-0.5,-2.0
2.0,2.5
-0.5,1.5
-0.5,1.0
10.0,9.0
0.0,1.0
-1.5,2.0
2.0,1.5
-2.0,-2.5
-1.5,2.5
-0.5,-1.5
1.0,1.0
-2.5,-1.0
0.5,-0.5
18.0,17.5
1.5,2.0
-1.0,-1.0
-1.0,0.5
1.0,0.5
8.0,7.0
-0.5,-1.0
-2.5,-1.0
-1.5,-0.5
0.5,0.5
-1.0,-1.0
-0.5,-0.5
-1.0,-1.0
1.0,1.0
0.5,0.5
9.0,8.5
3.0,3.0
-2.5,-1.5
