BOLOGNA C.LE,RIMINI
1.5,-4.5
0.5,2.5
17.0,17.5
29.0,40.5
7.5,6.5
4.0,2.0
1.5,6.5
1.0,7.0
13.0,13.0
-3.5,-3.5
-2.0,5.0
2.5,-2.5
1.5,-1.5
5.5,6.5
6.0,5.5
19.0,17.0
0.5,1.5
3.0,-3.0
9.0,7.5
1.0,0.0
2.5,11.0
1.5,-1.0
14.0,11.5
0.5,-6.0
17.0,27.5
9.0,11.0
2.0,-6.5
6.5,7.0
3.0,-1.5
24.5,94.0
10.5,10.0
10.0,10.5
-0.5,4.5
1.5,0.5
1.0,0.5
25.5,21.5
-2.5,-1.0
3.5,1.5
17.0,19.0
11.5,5.5
2.0,-7.0
20.5,22.5
8.0,10.5
21.0,20.5
23.0,23.5
20.0,20.5
13.0,11.5
20.0,21.0
34.0,43.5
33.0,43.0
-2.0,5.0
13.5,8.0
3.0,1.0
5.5,11.0
17.0,23.0
17.5,21.0
17.0,21.5
-3.0,-1.0
5.5,4.5
-2.0,-6.5
37.5,36.5
16.5,24.5
2.5,-2.5
2.5,1.0
1.0,-4.5
5.5,12.0
11.5,6.0
14.5,5.0
10.5,4.0
-0.5,3.5
39.0,38.5
3.5,0.0
53.0,69.5
3.5,6.5
5.5,-3.0
22.5,29.5
4.5,7.5
8.5,4.5
-2.5,-7.0
31.5,42.5
1.5,-6.5
44.5,51.5
13.0,11.0
16.5,20.5
32.0,34.0
8.5,7.0
16.5,23.5
5.0,34.5
-2.0,-6.5
0.0,0.5
11.0,10.5
5.0,6.5
8.0,13.0
17.0,20.5
1.0,1.5
-2.0,-3.5
21.0,24.5
16.5,20.0
14.5,20.0
25.0,21.5
0.0,-2.5
-3.0,-6.0
0.0,8.5
36.5,31.5
16.5,9.0
22.0,23.0
7.0,10.0
3.5,2.5
0.5,6.0
6.0,1.0
7.5,6.5
11.5,11.5
18.0,20.0
4.0,2.0
12.5,15.0
14.0,12.5
33.5,46.0
19.5,23.0
15.5,8.5
13.5,22.0
-1.5,-7.0
48.0,58.5
28.5,41.0
-3.5,-2.0
15.5,10.5
14.5,22.0
2.0,0.5
7.5,7.0
14.5,20.5
33.5,39.5
12.5,8.0
7.0,10.0
12.5,8.5
