DESENZANO,PESCHIERA DEL GARDA
0.5,0.0
3.0,2.0
1.0,0.0
13.0,14.0
18.0,18.0
10.5,10.0
-2.5,-1.5
14.0,13.0
7.5,8.5
-1.0,-1.5
10.0,9.0
-3.0,-1.5
4.5,4.0
-1.5,-1.5
22.5,21.5
13.0,13.0
21.5,21.0
4.0,3.5
-1.5,-1.5
0.5,-0.5
31.5,31.5
5.0,3.5
5.0,4.0
9.5,7.5
4.0,4.5
13.0,13.0
4.0,4.5
-1.0,-1.5
11.5,11.0
0.0,3.0
2.5,2.0
5.0,4.0
-0.5,-0.5
4.0,4.0
26.5,26.0
2.0,1.5
3.0,2.0
5.5,4.0
0.5,0.0
-0.5,-1.0
17.0,17.0
5.0,4.0
7.5,7.0
35.0,33.5
13.5,12.5
7.0,7.0
21.0,22.0
3.0,3.5
6.0,5.5
4.5,3.5
3.0,4.0
0.5,0.5
7.0,6.0
5.0,4.0
35.5,37.0
17.0,16.0
15.0,15.0
5.5,4.5
44.5,44.5
0.5,1.5
29.0,28.5
5.5,5.0
3.0,3.0
13.0,13.5
1.5,1.0
6.0,5.5
16.5,16.5
10.5,10.0
5.0,4.5
2.5,2.0
-1.0,-0.5
16.5,15.5
6.5,7.5
10.0,9.0
-1.5,-1.5
3.5,4.5
9.0,8.5
-2.0,-1.5
35.0,34.0
6.5,6.5
-2.0,-2.0
17.5,17.0
-1.0,0.5
7.5,6.5
13.0,11.5
5.0,7.5
16.0,16.0
14.0,14.0
4.5,4.5
19.0,18.0
6.0,5.5
10.0,9.0
14.5,13.5
4.5,4.5
9.5,8.5
11.0,10.0
2.0,3.0
5.0,4.5
6.5,7.0
20.5,19.5
0.0,-1.0
6.0,5.5
15.0,14.0
18.0,17.0
15.5,16.5
11.5,10.5
9.5,9.5
7.0,8.0
1.0,0.5
12.5,12.5
-3.0,-2.5
14.5,13.5
13.0,12.0
7.0,6.0
5.5,5.5
10.5,10.0
12.5,12.0
6.5,5.5
15.0,15.5
32.0,33.5
31.0,30.0
-1.0,-0.5
8.5,7.5
4.5,3.0
0.0,-1.0
6.0,4.5
4.0,4.0
6.0,13.5
8.0,7.5
12.5,12.5
6.0,5.5
3.0,1.5
2.0,1.5
1.5,1.0
24.0,23.5
-0.5,1.0
5.5,5.0
16.5,15.0
12.0,11.5
2.0,1.5
