BORGOCHIESANUOVA,MANTOVA
6.5,2.5
9.0,5.5
37.0,33.0
7.5,4.5
14.5,10.0
11.5,7.0
7.5,4.0
8.5,3.5
6.0,2.5
10.0,4.5
9.5,5.0
17.5,14.0
26.5,22.5
9.5,6.0
8.0,4.0
10.0,5.0
9.0,5.0
7.5,3.0
10.5,5.5
23.0,20.0
9.0,4.0
9.5,5.0
8.0,4.5
12.0,7.0
8.0,4.0
7.0,4.5
11.5,8.0
42.5,39.0
34.5,31.0
59.5,55.0
11.0,6.5
10.0,5.0
16.5,11.5
10.5,5.0
17.0,12.5
7.5,3.5
6.0,2.0
30.5,27.0
9.5,6.0
12.5,5.0
15.5,11.0
21.5,17.5
9.0,6.0
7.5,4.0
10.5,7.0
8.5,4.0
10.0,6.5
7.5,3.5
10.5,7.0
12.0,8.0
13.5,8.5
16.5,12.0
8.5,4.5
25.0,21.5
9.5,4.5
10.0,5.5
18.5,15.0
12.0,7.5
8.0,4.5
9.5,5.0
7.5,4.0
17.0,14.0
11.5,8.5
13.5,9.0
13.0,9.0
9.5,4.5
9.0,5.0
8.5,5.0
9.0,5.0
7.0,3.5
10.5,6.0
11.0,8.0
9.0,6.0
10.5,5.0
7.0,3.0
5.0,1.5
10.0,6.5
12.5,8.0
14.0,9.0
9.0,4.0
7.0,3.5
14.0,10.0
25.5,22.5
7.0,3.0
9.5,4.5
21.5,18.0
12.0,8.5
9.0,5.0
10.5,6.5
7.0,2.0
32.0,28.5
9.5,5.5
7.5,3.0
17.5,13.5
10.0,5.5
18.5,14.5
12.0,6.0
14.0,10.0
11.5,8.0
8.5,4.5
8.0,4.0
10.5,5.5
12.0,8.5
34.5,30.5
18.0,13.5
9.5,6.0
15.0,11.0
33.0,29.0
10.0,5.0
36.5,33.0
9.5,5.5
19.0,19.0
14.5,10.0
12.0,7.5
9.5,5.0
11.0,7.0
9.0,5.0
22.0,18.0
