RUSSI,RAVENNA
0.5,-2.5
-0.5,-2.5
1.5,-2.5
5.0,3.5
2.0,1.0
4.0,1.0
8.0,4.5
3.0,0.5
4.0,0.5
3.0,-1.0
9.5,6.0
9.0,5.5
3.5,0.5
18.5,15.5
5.5,3.0
6.5,3.5
3.5,0.0
1.5,-2.5
0.5,-1.5
9.5,6.0
2.5,-1.0
6.0,3.0
5.0,1.0
4.0,-0.5
2.5,-1.5
4.5,1.0
2.0,-1.0
4.0,0.0
-0.5,-4.0
4.0,0.5
3.0,-1.0
2.0,-1.5
7.0,4.0
10.0,7.0
1.0,-2.0
3.0,-1.0
1.0,-2.5
4.5,0.5
4.0,1.5
2.0,-2.0
2.5,0.0
35.5,33.0
0.5,-3.5
3.0,-0.5
4.0,1.0
5.0,1.5
3.0,0.5
3.5,1.0
1.0,-2.0
2.5,-1.0
2.5,-1.5
8.0,5.0
2.5,0.0
1.5,-2.0
9.0,5.0
4.5,2.0
4.5,1.5
2.0,-2.0
2.0,-1.0
0.0,-4.5
3.0,-0.5
1.5,-3.0
1.0,-2.5
3.0,-0.5
9.5,6.5
-0.5,-1.5
1.5,-2.0
1.0,-2.5
16.0,14.5
14.0,10.0
1.0,-3.0
1.0,-2.5
5.5,2.0
1.0,-0.5
0.5,-3.0
2.5,-1.0
1.0,-2.5
1.5,-1.5
4.5,1.0
