AREZZO,FIRENZE RIFREDI
40.5,32.5
2.0,4.5
4.0,0.0
-3.0,-2.0
-6.5,-7.0
-1.5,-0.5
-0.5,-7.5
-7.5,-5.5
12.0,5.0
3.5,2.0
0.0,1.0
15.0,8.5
5.5,-4.0
-0.5,-0.5
1.0,-1.0
5.5,2.0
5.5,17.0
6.0,-3.5
13.5,10.0
-0.5,1.0
-2.0,0.0
2.0,0.0
298.5,352.5
5.0,0.5
8.5,0.0
1.5,0.5
2.0,2.5
5.0,8.0
5.0,-3.5
4.5,-1.0
-0.5,-3.5
0.5,1.0
13.5,3.0
3.5,6.0
58.0,90.0
1.5,0.5
0.5,1.5
8.0,-1.0
4.0,-6.5
15.5,12.0
-3.0,0.0
2.0,10.0
6.5,1.5
1.0,-1.0
22.5,30.0
1.5,4.0
6.0,-2.0
-2.5,-1.5
-3.0,5.5
6.0,-2.5
3.0,2.5
-2.0,1.5
-4.0,7.0
-11.5,-2.0
2.5,-0.5
2.5,-8.5
1.0,-7.5
4.0,-1.5
7.5,0.0
4.0,-4.0
-3.0,7.5
5.5,-3.5
8.0,6.0
-10.5,1.5
-1.0,-5.5
25.5,29.0
3.5,1.5
-3.5,-2.5
-0.5,-6.0
6.0,-4.0
0.0,0.0
64.5,62.5
0.0,0.0
2.5,4.5
2.5,-8.0
39.5,40.0
7.0,1.5
17.0,10.5
-1.5,-3.5
5.5,5.5
2.5,-3.0
34.5,36.0
-1.5,-2.5
-1.0,-4.5
0.0,-0.5
4.0,4.5
0.5,-1.5
0.5,-1.0
-1.5,-5.5
-2.0,-2.0
-1.5,-2.0
4.5,-3.5
0.5,3.0
5.5,2.5
-4.0,-2.0
-0.5,-6.5
74.0,78.5
14.5,7.0
4.0,0.5
2.5,6.5
0.5,10.5
0.5,-1.5
2.0,2.0
-2.5,-4.0
-1.5,5.0
13.0,6.0
2.0,0.5
6.0,-4.5
-3.5,-2.5
-1.5,-3.0
4.5,-1.5
3.0,0.5
17.0,14.0
9.0,4.5
10.5,3.0
-1.0,-1.0
0.5,0.5
-3.5,-3.5
14.5,11.0
1.5,11.0
-1.5,-8.0
0.0,3.5
4.5,1.0
-5.0,-3.0
38.5,46.5
2.0,4.5
14.0,4.5
-2.0,-3.0
-3.0,-3.5
4.5,2.0
14.5,7.5
4.0,-0.5
3.0,3.5
5.0,-1.0
14.0,9.0
18.0,13.0
