BOLOGNA C.LEAV,FIRENZE S.M.N.
2.5,7.0
23.0,22.0
7.5,5.0
0.5,13.0
-0.5,5.0
5.5,10.0
0.5,9.0
4.0,10.0
6.0,8.0
15.0,13.5
2.5,11.0
4.0,5.5
2.0,1.5
1.0,9.5
-3.5,2.0
20.0,25.5
9.5,12.0
18.0,22.0
-1.5,6.0
3.5,7.5
10.0,20.5
21.0,21.0
3.5,10.0
5.0,11.5
1.0,12.5
5.5,6.5
10.0,11.5
10.5,11.0
-0.5,4.5
0.0,-2.0
1.5,9.5
17.5,21.5
6.5,12.0
23.0,27.0
9.5,9.5
-1.5,1.0
4.0,2.5
-0.5,9.5
10.0,10.5
5.5,8.0
2.0,8.5
9.5,17.5
7.0,17.5
5.5,8.0
1.5,10.5
-1.5,8.5
14.5,23.5
2.0,9.5
8.0,13.5
2.0,6.0
6.5,9.0
7.0,7.5
3.0,0.5
5.5,12.5
4.0,14.0
3.5,6.0
27.0,41.5
7.0,7.5
-3.5,-2.0
6.5,3.0
4.5,4.5
4.0,13.5
7.5,4.5
3.0,20.0
1.0,8.5
-1.5,1.0
-1.0,3.0
20.0,23.0
6.5,8.0
-3.5,-1.5
-1.0,8.5
-3.0,17.0
14.5,18.5
9.0,14.0
3.0,5.0
2.0,4.0
7.0,6.5
4.5,11.0
4.5,11.0
9.5,19.5
46.0,59.5
6.5,11.5
-1.5,4.0
-2.0,7.5
10.0,18.0
6.0,15.5
17.5,17.0
8.5,15.0
4.0,7.0
13.5,18.0
8.5,15.5
3.0,9.5
8.5,8.5
1.0,6.0
15.5,24.5
11.5,15.0
19.0,25.5
1.0,8.5
4.5,4.5
15.5,19.0
6.0,7.0
5.5,11.0
4.5,10.5
3.0,0.5
7.5,11.0
7.5,9.0
