ASOLA,REMEDELLO SOTTO
20.5,20.5
-0.5,0.5
5.5,6.0
5.5,5.5
12.0,12.5
13.0,13.0
1.5,1.5
2.0,3.0
3.5,3.5
10.5,10.5
6.0,6.0
18.5,18.5
13.0,14.0
2.0,2.0
-1.5,-0.5
3.5,4.5
6.5,6.5
4.5,5.0
2.0,2.0
6.0,6.5
3.0,3.0
10.0,10.0
8.0,8.5
6.5,7.0
2.5,2.5
2.0,2.5
0.5,1.5
8.0,8.0
2.0,2.5
6.0,7.0
3.5,4.0
10.5,10.5
1.5,3.0
4.5,6.0
4.5,5.0
7.0,7.0
4.0,5.0
2.5,3.0
7.0,7.0
13.0,13.5
3.0,3.5
4.0,4.5
0.5,0.5
2.5,2.5
6.5,7.0
2.5,3.0
2.5,3.5
9.0,9.0
6.0,7.0
10.0,10.5
0.0,1.0
-0.5,0.5
2.0,2.5
4.5,4.5
18.0,18.0
19.5,20.0
6.0,6.5
6.5,6.5
1.5,2.0
29.0,29.5
8.5,9.0
-1.5,-0.5
5.5,6.5
8.5,9.5
1.0,2.0
-1.5,0.0
3.5,4.0
10.5,14.0
5.0,12.5
1.5,2.0
-1.0,0.0
7.0,7.0
2.0,2.5
5.5,5.5
2.5,2.5
5.5,5.5
2.0,3.0
3.0,3.5
7.0,7.0
1.5,2.5
19.5,19.5
8.0,8.0
5.0,5.0
12.0,12.5
12.5,13.0
7.5,8.0
6.0,8.5
3.5,3.5
2.5,3.0
3.0,3.0
5.5,5.5
19.0,19.0
8.0,8.5
0.5,1.0
1.5,2.0
10.0,10.5
3.5,4.0
10.0,10.0
2.5,2.5
6.5,6.5
-2.0,-0.5
6.0,6.5
2.5,3.5
7.5,8.0
5.0,5.0
5.5,6.5
15.0,15.0
10.0,10.5
6.5,7.0
1.0,1.0
12.0,12.5
13.5,14.0
25.0,30.5
4.5,5.0
9.0,9.0
3.0,3.0
5.0,5.0
1.0,1.5
1.0,2.0
9.0,9.5
2.0,2.5
7.5,8.0
6.0,7.0
3.5,3.5
27.5,33.5
3.0,3.0
23.0,23.0
-0.5,0.5
0.0,3.0
2.0,2.5
12.5,12.5
9.5,9.5
7.0,8.0
1.0,1.5
2.0,3.0
10.5,11.0
7.0,7.0
2.0,2.5
7.5,8.0
30.0,32.0
5.0,5.5
1.0,1.5
3.5,4.0
4.5,5.0
10.0,11.0
0.0,1.0
0.5,1.5
5.0,5.0
4.0,4.0
