POTENZA INFERIORE,SALERNO
-3.5,-1.0
-2.5,0.0
14.0,17.0
-1.5,-4.0
-2.5,-4.0
-0.5,-0.5
-4.0,-7.0
-3.0,4.5
0.5,-4.0
-2.5,-7.5
-3.0,-2.5
-4.5,-4.5
15.5,10.5
-2.0,-1.5
-3.0,-1.5
-3.0,2.5
-2.0,-4.0
-0.5,-2.0
-3.0,-3.0
-0.5,2.5
-2.0,0.5
-5.5,-4.5
-1.0,8.0
57.0,51.5
6.5,21.5
-0.5,-3.5
-5.5,0.0
-5.5,-9.5
-4.0,9.0
0.0,-6.5
1.0,-2.5
-1.0,-7.0
-2.5,-6.0
3.0,-7.0
-3.5,-3.5
-4.5,-5.5
16.0,13.0
0.5,-3.0
0.0,-9.0
-2.0,-5.0
-4.0,5.5
3.0,12.5
-3.5,-7.5
0.0,0.0
26.5,26.0
6.0,17.0
46.5,42.5
3.0,-0.5
-1.5,-4.5
-2.5,-3.5
-2.5,-3.5
-1.0,-1.0
17.5,6.0
8.0,16.5
-3.5,-6.5
-4.5,-0.5
0.5,15.0
-3.0,-4.0
-1.5,-4.5
-2.0,2.0
0.0,-4.0
-2.5,1.5
-3.0,0.5
1.5,4.5
3.5,-5.5
-3.0,-3.0
2.0,14.0
3.5,1.5
-2.0,-4.0
-2.0,-6.0
-3.5,4.0
3.0,19.5
-4.0,-3.5
-5.0,1.5
-5.5,12.5
-5.0,-3.0
-5.0,-1.0
-0.5,1.0
1.0,-4.0
1.5,1.0
-4.0,-3.5
12.0,9.0
-4.0,-1.5
-1.5,11.0
-2.5,1.5
-2.5,-1.5
-3.0,-6.5
-2.5,-1.0
-1.0,-5.0
-2.0,-0.5
-1.5,-1.5
-5.0,-7.0
-4.5,-3.5
-3.5,-5.0
-5.0,2.0
2.0,-5.5
-0.5,-4.0
-4.0,3.0
2.5,0.0
-5.0,-1.5
-3.0,-1.0
-3.0,0.0
-5.0,-2.0
-3.0,-2.5
0.0,-2.0
0.0,-4.5
-5.0,-1.0
-2.0,-0.5
0.0,-3.5
-4.0,-7.0
-1.0,-2.0
