ROMA TERMINI,ORTE
1.0,8.0
2.0,6.5
0.0,3.5
3.0,5.0
0.0,21.5
0.0,-3.5
0.0,1.5
0.0,-2.0
0.0,0.5
23.0,45.0
0.0,-3.0
1.0,4.0
9.0,9.5
1.0,0.0
5.0,1.5
0.0,3.0
0.0,3.0
9.0,13.5
24.0,24.0
2.0,5.0
0.0,-3.0
0.0,3.5
1.0,3.0
1.0,-0.5
0.0,-4.0
0.0,-3.0
0.0,-2.5
1.0,2.0
10.0,9.0
0.0,2.5
0.0,-3.0
8.0,5.5
26.0,29.5
2.0,-2.0
0.0,2.5
20.0,24.5
1.0,0.0
0.0,-2.5
0.0,1.0
2.0,-1.5
3.0,4.0
0.0,-2.5
1.0,-2.0
5.0,0.5
1.0,5.0
10.0,16.0
1.0,3.5
20.0,24.0
0.0,3.5
1.0,-1.0
0.0,345.5
0.0,4.5
5.0,8.5
0.0,2.0
5.0,1.5
2.0,0.0
13.0,11.0
4.0,5.5
1.0,5.0
0.0,1.0
5.0,0.5
1.0,6.5
0.0,6.0
0.0,3.5
100.0,96.5
0.0,4.0
0.0,-4.0
0.0,0.5
3.0,1.5
1.0,2.0
11.0,13.5
1.0,-2.0
0.0,-1.0
3.0,3.5
9.0,6.0
0.0,-2.0
0.0,1.5
3.0,5.5
3.0,3.5
4.0,6.0
0.0,-2.0
2.0,1.0
45.0,42.5
3.0,8.0
1.0,-4.0
2.0,7.5
10.0,8.5
8.0,15.0
12.0,10.5
1.0,0.5
1.0,-2.0
0.0,7.0
1.0,-1.5
3.0,6.0
2.0,3.5
1.0,2.5
3.0,0.0
0.0,-0.5
2.0,1.5
2.0,-1.5
1.0,-2.0
0.0,2.0
1.0,-1.5
1.0,1.5
28.0,25.0
6.0,5.0
1.0,3.0
9.0,12.5
4.0,3.5
2.0,-3.0
1.0,-0.5
0.0,-4.0
2.0,5.0
7.0,6.5
2.0,2.5
9.0,5.5
1.0,8.5
4.0,0.5
2.0,-1.0
0.0,0.5
1.0,0.0
0.0,-3.5
1.0,5.0
0.0,-1.5
2.0,1.0
0.0,-2.0
0.0,2.0
0.0,-2.5
0.0,-4.0
0.0,0.5
1.0,2.5
19.0,57.0
0.0,2.5
0.0,-1.5
3.0,10.5
4.0,-1.0
0.0,0.0
25.0,28.0
1.0,28.5
3.0,0.0
4.0,40.5
1.0,0.0
0.0,0.5
1.0,2.0
7.0,7.0
19.0,37.5
12.0,12.5
13.0,19.0
0.0,-1.0
2.0,0.0
2.0,9.0
0.0,4.0
5.0,12.0
12.0,12.0
2.0,-1.0
4.0,0.5
0.0,2.0
1.0,5.0
2.0,1.5
2.0,6.5
1.0,3.0
23.0,21.5
0.0,1.0
0.0,-5.0
0.0,8.0
0.0,-2.5
0.0,-2.5
0.0,3.0
0.0,2.5
0.0,1.5
1.0,-1.5
12.0,16.0
0.0,1.5
2.0,1.5
13.0,14.5
38.0,36.0
2.0,1.0
5.0,2.5
2.0,0.5
1.0,-3.0
1.0,1.5
0.0,-2.5
0.0,4.0
0.0,-2.5
1.0,-1.5
20.0,19.0
2.0,4.5
8.0,6.5
2.0,4.5
22.0,22.0
2.0,3.5
1.0,-3.0
0.0,-3.0
10.0,7.5
1.0,-2.0
0.0,6.5
0.0,-0.5
1.0,-1.0
2.0,-2.0
85.0,89.0
43.0,48.5
1.0,-1.0
50.0,48.5
9.0,12.5
1.0,3.0
1.0,2.5
2.0,8.5
11.0,30.5
10.0,20.0
5.0,7.5
3.0,0.0
14.0,23.5
5.0,5.5
4.0,6.0
3.0,0.5
7.0,5.5
0.0,1.5
0.0,2.0
25.0,33.0
1.0,1.5
7.0,5.5
0.0,1.0
10.0,10.5
0.0,0.0
3.0,7.5
2.0,2.0
8.0,11.5
40.0,51.5
27.0,34.0
1.0,0.0
0.0,-3.0
1.0,3.5
0.0,-2.0
34.0,36.5
4.0,2.5
1.0,6.5
4.0,0.0
2.0,-0.5
17.0,27.0
1.0,4.5
2.0,-0.5
2.0,3.0
11.0,9.0
1.0,2.5
12.0,8.0
4.0,7.0
1.0,3.0
2.0,0.5
1.0,1.5
2.0,5.5
0.0,-3.0
0.0,1.5
1.0,6.5
2.0,7.0
1.0,2.5
76.0,74.0
0.0,-1.0
1.0,-0.5
8.0,8.5
2.0,1.0
3.0,4.5
0.0,-4.0
1.0,-1.0
1.0,-0.5
0.0,-3.0
0.0,0.0
18.0,29.0
1.0,2.5
0.0,-1.5
0.0,2.5
5.0,4.5
0.0,7.0
4.0,4.5
1.0,1.5
3.0,-1.5
10.0,16.0
7.0,0.5
5.0,10.0
