ROMANORE,LEVATA
6.5,10.0
6.0,7.5
3.0,5.5
8.5,10.5
2.5,5.5
3.5,10.5
5.5,7.0
5.0,7.5
7.5,10.5
4.0,7.0
5.5,9.0
7.5,9.5
4.5,8.0
9.5,13.5
19.0,22.0
2.0,5.0
5.0,8.5
3.0,5.5
5.0,8.0
3.5,6.0
1.5,3.5
2.0,4.5
5.5,7.5
5.5,8.0
5.5,8.0
3.5,6.5
7.5,9.0
8.5,11.0
7.5,10.0
7.0,10.0
1.5,4.5
3.5,6.5
4.5,6.5
5.5,8.5
6.0,8.5
2.5,6.0
5.0,7.5
3.5,6.0
2.5,5.0
5.0,8.0
3.0,6.0
2.5,4.5
2.5,6.5
5.0,7.5
3.5,7.0
3.5,5.5
3.5,7.0
2.5,4.5
3.0,6.0
7.5,10.0
5.5,9.0
1.0,4.0
1.5,4.0
3.0,6.0
6.0,9.0
2.0,4.5
1.5,4.0
6.5,8.5
5.5,7.5
10.5,14.0
3.0,6.0
1.5,4.5
4.0,7.0
3.5,6.0
4.5,8.0
5.0,8.0
2.0,4.5
1.5,5.0
2.5,5.5
2.0,4.0
0.5,2.5
1.5,4.0
10.0,11.5
4.0,6.0
24.0,25.5
1.0,3.5
4.5,6.5
3.0,8.0
4.5,7.0
5.5,7.5
4.5,7.0
2.5,5.0
2.0,3.5
5.5,8.5
3.5,5.0
4.0,7.5
3.5,7.0
3.0,5.0
6.0,9.0
3.0,5.5
5.0,7.0
4.5,8.5
3.5,6.5
7.5,10.5
8.0,10.0
5.5,7.5
1.0,3.5
2.0,4.0
2.5,5.0
5.0,8.0
3.5,5.5
2.0,4.5
6.0,8.5
6.0,8.0
4.5,7.5
5.0,7.5
4.0,7.0
3.0,4.5
5.5,9.0
1.0,3.0
3.5,5.5
2.0,5.0
3.0,5.0
2.5,4.5
4.5,7.5
5.5,11.0
5.5,12.0
8.0,12.0
5.0,7.5
4.0,6.0
2.5,7.0
4.0,7.0
1.5,5.5
2.0,5.0
7.5,10.0
1.0,3.5
2.5,5.0
7.5,10.0
6.0,8.0
9.5,13.0
2.5,5.0
24.5,29.0
4.5,7.0
4.0,7.5
1.0,4.0
1.0,5.0
3.0,5.5
18.5,19.5
6.0,8.5
7.5,10.5
1.0,3.0
4.5,6.5
5.0,7.5
4.5,7.5
2.0,4.0
2.5,6.5
7.0,11.0
2.5,6.0
7.0,10.0
2.0,4.5
3.5,5.0
2.0,4.5
2.5,5.0
3.5,6.0
5.5,8.0
4.5,7.5
1.0,3.5
5.0,8.0
3.0,5.5
2.0,4.0
2.5,4.5
5.0,8.0
10.0,13.5
6.0,9.0
11.5,14.5
1.0,4.0
9.5,11.0
3.5,5.5
7.5,9.0
9.0,11.5
6.0,9.0
2.0,6.0
6.0,9.0
2.0,3.5
3.0,5.0
2.5,4.0
2.5,5.0
2.5,5.5
2.0,4.5
4.5,7.0
2.0,4.0
3.5,6.0
2.5,6.0
4.5,7.5
4.0,6.5
2.0,5.0
6.0,9.5
4.0,6.0
7.5,10.0
3.0,6.0
5.0,7.5
0.5,3.5
3.0,6.5
7.5,9.5
9.0,12.0
9.5,12.5
4.5,7.0
4.5,8.0
2.0,4.0
4.5,6.5
3.5,8.0
2.5,5.0
4.5,7.0
2.5,5.0
5.5,7.5
3.5,6.5
3.0,5.5
4.0,6.5
6.0,9.0
3.0,5.5
3.5,6.0
10.0,11.5
6.5,10.0
3.0,6.0
5.0,7.0
4.0,6.5
2.0,3.5
2.5,4.0
1.0,2.0
6.5,8.5
1.5,4.0
5.5,7.5
3.5,7.0
8.0,10.0
2.0,4.0
1.5,3.5
3.0,5.0
3.0,5.0
2.5,5.5
2.5,5.5
6.0,8.5
6.0,8.0
8.5,8.0
5.5,7.5
6.5,9.5
2.0,4.5
2.5,5.0
1.5,3.5
3.0,7.0
2.0,5.0
3.5,6.5
1.5,3.5
5.5,9.0
3.0,6.0
1.0,3.5
23.5,25.5
1.0,4.0
3.0,5.0
2.5,4.5
3.5,7.0
3.0,5.5
2.5,5.0
3.5,6.5
2.5,4.5
6.0,9.0
3.5,6.5
2.0,4.0
2.0,5.0
4.5,6.5
2.5,5.0
4.0,6.5
3.0,6.0
1.5,4.5
6.0,8.5
3.5,6.5
4.5,6.0
1.0,4.5
7.0,10.0
2.5,5.0
3.5,5.5
3.0,6.5
2.0,5.5
5.0,7.5
2.0,4.0
3.5,6.0
1.0,3.0
9.0,12.0
2.0,5.0
27.0,30.0
3.0,5.0
