VILLANOVA DI REGGIOLO,ROLO NOVI FABBRICO
2.0,2.0
7.0,13.0
9.0,9.0
2.0,2.0
2.0,1.5
2.5,2.0
5.0,5.0
5.0,4.5
3.0,2.5
5.0,3.5
6.0,4.5
1.5,0.0
1.0,-1.0
1.0,-0.5
1.0,-1.0
19.0,16.5
2.0,0.0
4.5,2.5
2.0,0.5
5.5,4.0
5.0,3.0
3.5,2.0
2.0,0.5
2.5,1.0
3.0,1.5
9.5,8.0
0.5,-1.5
4.0,2.5
3.0,1.0
1.0,-1.0
5.5,4.5
4.5,2.5
2.0,0.5
1.0,-1.0
4.5,3.0
1.0,-0.5
3.0,1.0
5.0,3.5
0.5,-1.5
3.5,2.0
7.0,5.5
2.5,0.5
6.0,4.0
3.0,1.5
3.5,1.5
3.0,1.0
2.5,1.5
5.5,5.5
1.5,-0.5
8.5,7.5
12.5,11.5
3.0,1.5
3.5,1.5
11.0,9.0
25.0,23.5
18.0,16.0
19.5,18.0
2.0,0.5
3.5,2.0
2.5,1.0
1.5,-0.5
4.0,2.0
1.0,1.0
7.5,5.5
4.0,2.5
14.5,12.5
4.0,2.0
1.5,-0.5
0.5,0.0
3.5,1.5
4.5,2.5
4.5,3.0
2.0,0.0
2.5,1.5
8.5,7.0
2.5,0.5
4.5,2.5
10.5,9.0
1.5,0.0
1.0,-1.0
4.0,2.5
2.5,1.5
2.5,1.0
7.0,5.0
0.5,-1.5
1.0,-0.5
2.0,0.0
2.5,0.5
14.5,12.5
4.5,3.5
1.0,-1.0
3.0,2.0
15.5,13.5
1.0,-0.5
28.0,28.0
2.5,1.0
5.0,4.0
4.5,4.0
7.0,5.5
4.0,2.0
7.5,6.5
1.5,1.0
4.5,3.0
26.5,26.0
1.5,-0.5
1.0,-1.0
7.0,5.5
1.5,-0.5
2.5,0.5
6.5,5.0
8.0,6.5
0.5,-1.5
1.0,0.5
1.5,1.5
2.5,2.5
6.0,5.5
5.0,5.0
5.0,4.0
8.5,8.0
2.0,0.5
20.5,15.5
9.0,7.5
9.5,7.5
7.5,6.0
11.0,9.5
86.5,85.0
3.5,2.0
10.0,8.5
2.0,0.5
3.0,1.0
3.0,2.0
5.5,4.0
3.5,2.0
