VERONA PORTA NUOVA,DOSSOBUONO
1.0,0.5
1.5,2.5
2.0,4.0
2.5,2.5
2.5,1.5
3.5,2.5
2.5,1.5
2.0,1.5
2.0,5.0
1.0,0.0
1.5,3.0
1.5,3.0
5.0,4.5
1.5,2.0
1.5,1.0
5.0,4.0
1.5,1.5
1.5,2.5
2.5,1.5
1.5,1.5
4.0,4.5
1.5,3.0
2.0,1.5
1.5,1.5
1.0,1.0
1.5,1.0
1.0,0.0
1.0,0.0
1.5,1.0
3.5,3.5
4.0,9.5
2.0,1.0
2.0,3.0
6.5,5.5
4.0,3.5
1.5,1.5
2.0,2.0
11.0,10.5
1.5,0.5
2.0,3.0
5.0,4.5
2.0,2.0
2.0,2.0
2.0,3.5
3.0,3.0
4.5,4.5
4.5,7.5
1.5,3.5
1.5,1.5
1.0,0.0
2.5,1.0
1.5,4.0
1.0,0.5
2.0,6.0
5.0,4.5
1.0,2.0
1.0,2.0
2.0,3.5
3.0,2.0
1.5,2.0
1.5,0.5
5.5,4.5
1.5,1.5
1.5,1.0
1.5,1.0
4.0,6.5
2.0,1.5
1.5,0.5
1.0,0.5
4.0,4.0
3.5,4.0
8.0,6.5
1.0,0.0
1.5,2.5
2.0,1.0
1.5,2.5
3.0,2.0
5.5,4.0
1.5,2.0
5.5,5.5
1.5,2.0
2.0,0.0
1.5,2.5
2.5,1.5
2.5,1.5
2.0,6.5
2.5,4.5
2.0,6.5
2.0,1.5
2.0,2.0
1.0,2.0
1.0,1.0
1.0,1.5
2.0,3.0
5.0,7.0
1.5,3.5
1.5,1.5
3.5,2.5
1.5,0.5
1.5,0.5
1.5,0.5
2.0,4.0
1.5,1.5
1.0,1.0
1.5,1.5
2.0,4.5
1.0,0.5
1.5,3.5
1.0,1.5
1.5,3.5
1.0,2.5
6.5,8.0
2.0,3.0
3.0,4.5
2.0,1.5
1.5,1.5
1.5,1.0
1.5,1.0
1.5,1.0
1.5,1.0
3.0,2.5
1.5,1.0
24.0,24.5
9.5,10.5
1.0,1.0
1.5,7.5
2.0,3.5
1.5,0.5
8.0,6.5
2.0,1.5
2.5,3.0
3.5,4.5
4.5,5.0
2.0,2.5
1.5,1.0
1.5,2.5
3.0,3.0
1.5,0.5
19.5,19.0
5.0,4.5
2.0,1.5
2.5,1.5
2.0,2.0
5.5,7.5
3.5,4.0
3.5,2.5
2.0,3.0
1.5,0.5
3.0,4.5
4.0,6.0
1.5,3.5
2.0,2.0
6.5,7.5
8.5,7.5
1.5,2.0
2.5,4.5
3.5,3.0
10.0,9.5
2.0,1.5
3.0,2.5
1.5,0.5
1.5,2.5
1.5,2.0
1.5,6.5
2.0,2.0
1.5,2.0
3.5,3.0
2.5,6.0
5.0,5.5
1.5,2.5
1.0,0.5
2.0,2.0
2.0,1.5
1.5,1.0
1.0,-0.5
1.5,0.0
1.5,3.5
4.0,6.0
1.5,1.5
8.0,7.0
4.0,2.5
4.5,7.0
2.0,1.0
5.0,6.0
1.0,1.0
2.0,2.5
11.5,11.5
7.5,8.5
1.5,3.0
1.5,6.0
2.0,1.5
2.0,4.0
2.5,4.5
1.5,3.5
1.5,2.5
1.5,1.0
2.5,2.0
1.5,2.0
1.5,1.5
1.5,5.0
2.5,1.0
1.5,2.5
4.5,4.0
2.0,2.0
1.0,2.0
10.0,11.0
1.5,1.0
2.5,3.0
2.5,3.0
1.5,2.5
1.0,1.5
3.5,4.0
1.5,6.0
1.0,6.0
1.5,2.0
6.5,10.5
1.5,1.0
1.0,1.5
1.5,1.0
3.5,7.0
1.5,0.0
1.0,1.5
2.0,1.0
5.0,4.5
3.0,3.0
8.0,7.5
2.5,2.0
1.5,1.0
3.0,4.0
4.5,5.0
2.0,2.0
1.5,0.5
1.5,0.0
2.5,2.0
1.5,0.5
2.5,2.5
2.0,2.0
1.5,5.5
1.5,2.0
6.5,6.0
3.0,1.5
32.0,31.5
3.0,7.5
1.0,0.5
1.5,1.5
2.5,4.5
2.0,4.5
1.5,0.5
3.0,3.0
10.0,11.5
1.5,1.5
1.0,2.5
3.0,2.5
2.5,2.5
1.5,3.5
1.5,8.0
1.5,3.5
6.0,7.5
1.5,1.0
2.0,2.5
3.5,3.0
1.5,2.5
1.0,3.0
2.5,2.5
1.5,3.0
2.0,4.0
2.0,3.5
5.5,7.0
2.0,3.0
2.0,4.0
2.5,2.5
3.0,3.0
0.5,0.5
11.5,9.5
1.0,2.0
1.0,1.0
1.5,2.0
25.0,24.0
23.5,27.0
1.0,0.5
3.0,3.0
1.0,0.5
1.5,1.0
2.0,1.5
2.0,2.0
2.0,0.5
2.5,5.5
7.0,8.0
2.0,3.5
2.0,2.0
4.5,4.5
