FIRENZE RIFREDI,FIRENZE CAMPO MARTE
1.5,4.5
4.0,3.5
2.0,-1.0
6.0,6.5
12.0,12.0
9.5,12.5
120.5,119.5
4.0,2.5
19.5,16.0
11.0,19.0
8.0,8.5
16.5,16.5
-1.0,-0.5
17.0,15.5
2.0,1.0
17.0,17.5
44.5,51.5
4.0,2.5
4.0,1.0
12.5,12.0
14.0,15.0
28.0,31.0
0.0,2.5
17.0,19.5
10.0,14.0
0.0,1.0
9.5,11.5
8.0,5.0
9.0,12.5
-1.5,3.0
9.5,11.0
6.5,6.0
12.5,17.5
53.0,59.0
7.0,5.0
86.0,93.5
1.0,-2.0
6.5,6.0
27.5,25.5
-0.5,-2.0
27.0,25.0
30.0,37.0
0.5,6.0
1.5,2.5
20.0,23.5
124.5,125.5
0.5,1.5
15.5,24.5
8.0,4.5
6.5,4.0
18.0,14.0
15.0,17.5
17.5,16.0
29.0,30.0
27.5,33.0
-0.5,3.0
12.0,8.5
6.5,5.0
2.0,3.5
3.0,0.5
7.5,4.5
11.0,10.5
3.5,4.0
5.5,4.0
6.5,5.0
20.0,17.0
17.0,31.5
17.0,17.0
9.0,10.0
-0.5,22.0
2.5,3.0
3.5,4.5
11.0,7.0
6.0,5.0
4.0,2.5
20.5,20.0
7.5,8.0
37.5,40.5
21.0,17.5
16.0,20.0
0.0,5.0
2.0,-0.5
2.0,-0.5
40.0,40.5
2.0,2.0
7.5,5.0
5.5,5.5
4.0,0.0
2.5,0.5
2.0,0.0
23.5,24.5
1.5,6.5
163.5,162.5
5.5,4.0
4.5,4.0
4.0,1.5
9.0,7.5
5.5,3.0
11.0,9.5
76.5,87.0
15.5,13.5
6.5,7.5
29.0,34.0
14.5,14.0
7.0,5.0
0.5,-1.0
12.0,9.0
2.5,-1.0
1.5,5.5
6.0,6.5
6.0,6.5
8.0,9.0
5.5,13.0
11.0,12.0
24.5,21.5
49.0,53.5
8.5,7.0
4.5,11.5
23.5,22.0
4.5,4.5
14.5,12.5
8.0,6.5
1.0,0.0
3.0,2.0
-3.5,-2.5
18.5,20.0
6.0,2.5
27.0,27.0
5.0,4.0
8.0,5.5
6.5,9.5
3.0,4.5
4.0,6.0
46.0,55.0
2.5,4.0
8.5,5.0
