BOLOGNA C.LE,OZZANO DELL'EMILIA
-3.5,5.0
-3.0,3.0
-4.0,3.5
2.5,5.0
0.0,6.5
12.5,12.0
-2.0,5.0
0.0,3.5
-1.0,5.0
-2.0,4.0
-3.0,3.5
-4.5,5.0
-2.5,4.5
-4.0,4.5
-1.0,6.0
-3.5,3.5
-2.0,6.5
-3.0,4.0
-2.0,11.5
-0.5,8.0
-2.0,3.5
-2.0,5.0
3.0,6.0
2.5,7.0
0.5,5.0
-5.5,3.5
-0.5,5.0
-3.0,6.0
-1.5,4.5
-5.5,3.5
0.5,3.5
3.5,4.5
-4.0,4.0
-2.0,4.0
7.5,8.5
-1.5,6.0
2.5,6.0
-0.5,7.5
-4.0,4.5
0.5,5.0
-2.5,3.5
-2.0,5.0
-1.5,4.5
-4.0,2.5
-4.5,4.0
6.0,7.0
-3.5,6.0
2.0,7.5
2.0,6.0
-3.0,6.5
-1.0,5.0
-3.0,4.5
-0.5,5.5
-1.0,4.5
-1.0,5.0
4.0,5.5
-5.5,3.0
0.0,5.0
-4.5,3.5
-1.0,5.0
1.5,4.5
-3.5,5.5
0.5,4.5
-5.5,3.5
1.0,5.0
-3.5,5.5
0.5,5.0
8.5,8.0
-3.0,4.5
-3.0,5.0
5.5,6.5
-1.0,4.5
-2.0,4.0
-4.5,18.0
-0.5,4.0
10.0,16.5
-3.0,3.0
0.0,5.0
3.0,4.0
-4.0,12.0
-0.5,5.5
-3.0,4.0
-4.5,4.0
-2.0,3.5
-3.5,3.0
-3.0,4.5
-1.0,3.5
17.5,25.0
-2.5,5.0
-4.0,5.5
-2.0,5.0
-5.0,7.5
-5.0,7.0
-2.5,10.5
-1.5,6.0
-3.0,4.5
-4.0,4.0
-1.5,6.0
-2.5,5.0
-4.5,4.5
0.5,5.5
22.0,28.0
-0.5,6.5
-1.0,5.5
-3.5,4.5
-0.5,3.0
-1.0,4.5
-4.5,5.0
6.5,9.0
1.0,4.0
-1.5,6.5
2.0,7.5
-3.5,4.5
3.0,5.5
-3.5,6.0
-1.5,4.5
-0.5,15.5
-1.5,4.5
-2.5,4.0
-5.5,2.5
3.0,4.5
3.5,9.5
-1.0,4.5
3.0,7.0
-3.5,3.5
-4.0,6.0
-3.0,5.0
-1.5,4.5
-4.0,4.0
0.5,5.5
3.0,6.5
-5.0,4.0
-3.5,4.0
2.0,4.0
-3.0,5.5
2.5,8.0
-4.0,5.0
-1.0,4.0
