MUSIANO-PIAN DI MACINA,PIANORO
1.0,-1.0
2.0,0.5
1.0,-1.0
1.5,-0.5
1.0,-1.0
2.0,0.0
1.5,-0.5
1.0,-1.0
3.0,1.0
1.0,-1.0
4.0,2.0
1.5,-0.5
1.0,-1.0
3.0,1.0
3.0,1.5
3.5,1.0
2.5,0.5
4.5,2.0
2.5,0.5
1.0,-1.0
1.0,-0.5
1.5,-0.5
2.0,0.0
3.0,1.0
1.5,14.0
2.5,0.5
1.0,-1.0
5.5,4.0
4.5,4.0
2.0,0.0
1.0,-0.5
3.0,1.0
5.5,3.5
2.0,0.0
1.0,-1.0
1.5,0.0
2.0,0.0
3.5,2.5
1.0,-1.0
2.5,1.0
2.0,-0.5
1.0,-1.5
4.0,2.0
2.0,0.0
1.5,-0.5
2.0,0.0
1.0,-0.5
1.5,-1.0
1.0,-1.0
4.0,2.0
1.5,-1.0
1.5,-0.5
1.5,-0.5
1.0,-1.0
1.5,-0.5
1.5,-0.5
1.0,-1.0
4.5,3.0
1.0,-0.5
1.0,-1.0
1.0,-1.0
2.0,0.0
1.5,-1.0
2.5,0.5
1.0,-1.0
2.0,0.0
1.0,-1.0
1.0,-1.5
1.0,-1.0
1.5,0.0
1.5,-0.5
1.0,-1.0
1.0,-1.0
4.0,2.5
2.0,0.0
2.5,0.5
1.5,0.0
2.0,0.0
2.0,-0.5
1.0,-0.5
2.0,1.0
1.0,-1.0
2.5,1.0
0.5,-1.5
0.5,-1.5
3.5,1.5
2.5,0.5
1.0,-1.5
2.0,0.0
1.0,-1.0
1.0,-1.0
2.5,0.5
1.0,-0.5
0.5,-1.0
3.5,1.5
1.0,-0.5
1.0,-0.5
2.5,1.5
2.5,0.5
1.5,-0.5
1.0,-1.0
1.0,-1.0
1.0,-1.0
3.0,1.5
1.5,-0.5
3.0,1.5
1.5,-0.5
1.0,-0.5
3.5,1.5
2.0,0.0
1.0,-1.0
4.5,2.5
1.0,-1.0
6.0,3.5
1.0,-1.0
1.5,-0.5
1.0,-1.0
1.0,-1.0
5.0,3.0
2.5,1.0
3.0,1.0
3.0,1.0
1.5,-0.5
1.0,-0.5
2.5,0.0
2.0,-0.5
88.0,86.5
2.5,1.0
63.5,62.0
2.5,0.5
1.0,-1.5
7.0,5.0
1.5,-0.5
1.5,-0.5
3.0,0.5
5.0,3.0
1.5,0.0
2.0,0.0
7.0,5.0
6.0,3.5
1.5,-0.5
2.0,0.5
1.0,-1.0
1.5,0.0
1.5,-0.5
5.0,3.5
2.5,1.0
1.5,-1.0
1.0,-1.0
2.0,0.0
2.5,0.5
1.0,-1.5
1.0,-1.0
1.0,-1.0
6.0,4.5
2.5,0.5
0.5,-0.5
1.5,-0.5
3.5,1.5
1.0,-1.0
1.5,0.0
