ASTI,TORINO LINGOTTO
2.0,-1.0
12.5,7.0
26.0,20.0
6.5,1.0
8.5,4.0
-1.5,-3.0
26.5,23.5
2.5,-0.5
-0.5,-4.5
44.0,41.0
2.0,9.0
20.5,14.0
9.5,4.5
1.5,-4.5
0.5,-2.5
15.5,11.0
10.0,5.5
11.5,10.5
3.5,0.0
2.0,9.5
36.0,31.0
26.0,22.5
5.5,2.5
2.0,-2.5
20.5,15.0
0.0,-5.0
6.0,2.0
19.0,13.0
29.5,24.5
4.0,-1.0
21.5,16.5
20.0,15.0
73.0,68.5
-0.5,-5.0
11.0,4.5
16.5,11.0
60.0,55.0
16.0,12.0
18.0,15.5
5.0,-0.5
2.5,-1.5
16.5,12.0
-1.5,-4.0
30.5,26.0
17.0,12.5
0.5,-3.5
11.0,5.5
27.5,22.5
0.5,-4.0
26.0,20.5
16.5,12.5
14.5,8.5
23.0,17.5
1.5,-2.0
6.5,1.5
6.0,3.5
12.0,7.5
20.0,16.0
32.5,27.5
-2.0,-6.0
88.0,83.5
-1.0,6.5
0.5,-2.0
6.0,0.5
6.0,0.5
