PRATO CENTRALE,PRATO PORTA AL SERRAGLIO
0.0,1.0
0.0,0.5
8.0,9.0
0.0,1.5
-0.5,0.5
1.5,2.5
0.0,1.0
1.5,2.0
-0.5,3.0
3.0,4.0
-0.5,0.5
1.5,3.5
1.5,2.5
2.5,3.0
0.0,1.0
3.0,4.0
0.5,1.5
1.5,2.0
0.5,1.5
0.5,1.0
0.5,1.0
2.0,3.0
0.5,1.5
0.5,1.5
4.5,6.0
0.5,1.0
0.0,1.0
0.5,1.0
0.5,1.5
0.5,1.5
3.5,5.0
0.0,1.0
0.0,1.5
0.5,2.5
0.0,0.5
-0.5,0.5
0.0,1.0
0.0,0.5
-0.5,0.0
2.0,3.0
0.5,2.5
1.5,2.5
0.0,1.0
1.5,2.5
-0.5,0.0
2.5,3.0
0.0,0.5
0.5,1.0
0.5,1.0
0.5,1.5
0.0,1.5
0.5,1.5
0.5,2.0
1.5,2.5
1.0,2.0
0.0,1.0
0.5,1.5
5.5,7.0
0.0,1.5
0.0,0.5
3.0,4.0
1.5,2.5
0.0,1.0
0.0,1.5
1.0,2.0
17.5,19.5
0.5,1.5
0.0,0.5
1.5,2.0
-0.5,0.0
0.0,1.0
-0.5,0.0
0.5,1.0
0.0,1.0
0.0,1.0
1.0,1.5
0.5,1.5
0.0,0.5
1.5,2.5
8.5,9.0
0.0,1.0
1.5,2.5
0.0,1.0
-0.5,0.5
5.0,5.5
0.5,1.0
0.0,1.0
1.5,2.5
1.5,2.0
0.5,1.5
3.0,4.0
2.5,3.5
23.0,25.0
1.0,2.0
0.5,1.0
0.5,2.0
1.0,1.5
4.5,5.0
6.0,6.5
0.5,1.0
-0.5,0.5
2.5,3.5
0.5,1.0
1.5,2.0
-0.5,0.5
0.5,1.5
