FANO,PESARO
0.0,0.0
-0.5,-0.5
15.5,14.5
-0.5,-0.5
0.5,-0.5
-1.5,-0.5
244.5,245.0
1.5,1.0
-0.5,1.5
0.5,0.0
0.0,1.5
1.5,1.5
-0.5,-1.0
0.5,0.0
1.0,0.0
18.0,18.0
-1.0,-0.5
0.5,0.5
0.5,1.0
-0.5,-1.0
0.5,0.0
1.5,3.0
2.0,1.5
1.0,0.0
6.0,6.0
0.5,1.0
0.5,-0.5
-0.5,0.5
2.5,2.0
6.0,6.0
1.0,1.0
3.0,2.5
2.5,2.0
0.0,0.0
1.5,1.5
4.0,4.0
-0.5,-0.5
-0.5,0.0
8.5,8.0
0.5,0.5
-1.0,-0.5
-1.5,-0.5
13.0,12.0
-1.0,0.0
-1.0,-1.0
9.5,8.5
-0.5,-1.0
0.5,0.0
-0.5,0.5
7.0,6.5
-1.0,-0.5
1.0,1.0
-0.5,-0.5
0.5,0.0
0.5,-1.0
-0.5,0.0
1.5,1.5
0.0,-1.5
1.5,1.5
10.5,10.5
3.0,3.0
0.0,-0.5
-1.5,-1.0
1.5,1.5
21.0,20.5
0.5,0.5
9.0,9.0
1.5,1.5
-1.5,-1.5
2.5,2.5
0.0,0.0
-0.5,-1.0
1.5,0.5
0.5,0.0
0.0,0.0
-0.5,0.0
-1.0,-0.5
9.0,8.0
3.0,3.5
1.5,1.5
1.0,0.5
1.0,0.5
0.0,-0.5
1.5,2.0
-1.0,-1.0
2.5,1.5
4.0,4.0
6.5,5.5
3.5,3.0
-1.0,-1.0
-1.0,-0.5
-1.0,-0.5
3.0,2.5
7.5,6.5
0.0,-0.5
9.5,10.5
-1.0,-0.5
-1.0,-0.5
2.5,2.5
-0.5,0.5
-0.5,-0.5
36.0,35.5
2.0,2.0
0.0,-0.5
11.5,11.0
42.0,40.5
25.5,25.0
-1.0,-0.5
-0.5,-0.5
-1.0,-0.5
11.0,14.5
22.5,23.5
52.0,50.5
53.5,52.5
1.5,1.5
0.0,0.0
0.5,0.5
0.5,0.0
1.0,0.5
-0.5,-1.5
-1.0,-0.5
2.5,1.5
7.5,7.0
2.0,1.5
0.0,1.0
-1.0,0.5
9.0,8.5
3.0,15.0
-1.0,0.0
0.0,0.5
0.0,0.0
-1.0,0.5
0.0,0.0
2.5,3.0
1.0,2.0
16.0,15.5
0.0,0.0
-1.0,0.0
0.5,0.5
