POGGIO RENATICO,FERRARA
12.0,11.5
-0.5,1.0
4.5,4.5
5.0,5.0
-0.5,0.5
37.5,41.0
2.0,1.0
-0.5,1.5
-3.0,-1.5
3.0,3.0
5.0,4.0
0.5,0.0
8.0,8.0
2.5,2.0
6.0,6.0
-1.0,0.5
12.5,11.5
5.5,5.0
8.5,8.5
-0.5,1.0
2.0,3.5
-0.5,1.0
1.0,2.0
2.0,1.0
-2.5,0.5
0.0,2.5
6.0,7.5
9.0,8.5
2.5,1.5
2.0,4.5
13.5,15.0
5.5,7.5
3.0,4.5
21.0,21.5
-1.0,-0.5
-3.0,1.0
-1.0,1.0
7.5,9.0
2.5,2.5
6.0,5.0
11.5,11.5
31.0,28.5
2.5,2.5
1.5,2.0
2.0,1.5
2.5,2.0
4.5,3.5
3.5,4.5
6.5,7.5
-0.5,1.5
22.0,26.5
-0.5,1.0
12.0,12.5
-4.0,1.0
-0.5,-0.5
3.0,3.5
2.5,2.0
0.5,0.5
5.5,5.5
13.0,12.0
1.0,0.5
0.0,0.5
27.5,29.0
-0.5,3.0
-3.5,4.0
-3.0,2.0
6.0,7.5
0.5,2.5
0.5,1.5
6.5,6.5
-0.5,1.5
0.5,-1.5
1.0,0.5
2.0,2.5
0.0,-0.5
3.0,3.5
0.0,0.0
33.5,35.5
-1.5,-1.0
0.5,2.5
1.5,3.0
-0.5,0.0
1.5,2.0
0.0,3.5
-3.0,3.5
0.0,1.0
2.5,3.0
8.0,8.0
0.0,0.0
5.0,5.5
-1.0,1.0
-1.0,0.5
17.0,17.0
18.5,18.5
-0.5,-1.0
-3.0,0.0
4.5,4.0
0.5,0.5
7.5,7.0
3.5,3.0
-1.0,0.5
4.5,5.0
-1.0,0.5
3.0,3.5
1.0,1.0
0.0,0.0
-2.5,0.5
-0.5,-0.5
2.0,2.0
2.5,2.5
-1.0,-1.0
-2.0,2.0
0.5,1.5
14.0,13.0
4.0,4.5
0.0,1.0
-2.5,-0.5
3.5,3.5
3.0,3.0
4.0,3.0
0.0,0.0
6.0,6.5
-0.5,0.0
13.0,12.5
-1.0,-0.5
10.5,11.0
-1.0,-1.0
0.5,0.0
0.0,0.5
-0.5,0.5
0.0,2.5
0.5,0.0
3.0,4.0
3.0,3.5
4.0,4.0
-0.5,-0.5
4.0,4.0
1.5,2.0
4.5,7.0
-0.5,2.0
1.0,2.0
-0.5,-0.5
3.5,3.0
1.0,0.5
7.5,7.0
0.0,1.0
-3.5,2.0
2.0,2.0
0.0,0.5
-0.5,0.5
4.0,5.5
-2.5,0.0
4.5,5.0
0.5,1.0
5.0,6.5
-0.5,0.5
-2.5,11.0
1.0,0.0
3.5,3.5
-1.0,-0.5
-0.5,-0.5
-2.5,4.0
-1.5,1.5
-0.5,0.0
-1.0,0.0
5.0,5.0
6.5,6.0
-1.5,-1.0
4.0,4.0
2.0,1.0
5.0,5.0
1.5,2.0
2.0,3.0
0.0,1.0
-1.0,0.0
