FIRENZE S.M.N.,BOLOGNA C.LE
2.0,5.5
0.5,0.5
8.5,41.0
3.5,5.5
0.0,0.5
9.5,14.0
-2.5,4.0
8.0,10.0
7.0,10.0
6.5,11.0
2.5,5.0
6.5,9.0
13.5,15.5
37.5,39.0
1.5,6.5
3.5,19.5
29.0,85.5
6.0,9.0
2.5,4.5
0.0,3.5
1.0,3.0
9.0,10.0
-0.5,2.5
0.5,6.0
29.5,34.0
12.5,19.0
-1.0,2.5
12.5,13.5
27.5,31.5
12.5,15.0
-1.0,4.5
0.0,1.5
13.5,20.0
4.5,11.0
-1.0,1.5
6.5,8.0
6.0,13.5
3.0,4.5
15.0,17.0
6.0,11.0
1.5,10.5
5.5,11.0
2.0,8.0
5.0,12.5
10.5,11.5
6.5,5.0
-4.5,1.0
6.0,11.5
9.0,22.0
0.5,2.5
26.5,35.5
0.0,0.0
14.5,15.5
4.5,7.0
9.5,23.0
1.5,4.5
5.0,5.5
-2.0,1.5
8.0,10.0
4.0,6.0
11.5,12.5
5.0,7.5
3.5,3.5
