MEZZANO,ALFONSINE
-0.5,0.5
-0.5,0.5
1.5,-2.0
0.0,-3.0
-1.0,1.0
2.5,-1.5
-1.5,0.0
2.5,2.0
-1.0,1.0
7.5,2.0
0.5,-1.0
1.5,1.5
-0.5,-4.5
-0.5,1.0
2.5,0.5
1.0,-1.0
-0.5,-0.5
0.0,-5.0
0.5,-3.5
2.0,3.0
0.5,0.5
-0.5,0.5
1.0,-0.5
1.5,2.0
1.5,-3.5
-0.5,1.0
1.0,-2.5
1.5,2.0
2.0,-2.5
-1.0,1.5
0.5,-2.5
0.5,1.0
-0.5,-4.5
-1.0,1.0
2.5,0.0
0.5,1.5
1.5,-2.0
-1.5,0.5
-0.5,-5.0
1.0,1.5
2.0,2.5
1.0,1.5
0.0,-3.5
0.0,1.5
2.5,-1.0
1.0,1.5
2.5,-0.5
-1.0,2.0
-1.0,-4.5
-0.5,0.5
-1.0,-4.5
-0.5,1.5
1.0,-3.5
1.0,2.0
1.0,-2.0
-1.0,0.5
1.5,-1.5
-0.5,1.0
5.5,0.0
-1.0,1.0
0.5,-2.5
-0.5,0.0
3.0,1.0
1.5,2.0
-0.5,-3.0
3.0,3.5
1.0,-2.5
-0.5,3.0
-1.0,1.0
2.0,-1.0
0.5,-4.0
1.5,2.0
-1.0,-5.0
-0.5,1.0
2.5,-0.5
0.0,-4.5
-0.5,0.5
1.5,-2.0
-0.5,1.5
-0.5,-4.5
3.0,3.0
0.5,-3.0
1.0,2.0
2.0,0.0
-0.5,1.5
9.5,4.0
2.0,3.0
0.5,-3.0
1.5,2.0
1.0,-3.0
0.5,1.5
2.0,-0.5
1.0,2.5
1.0,-4.0
0.0,42.0
-0.5,-4.0
0.0,-0.5
0.0,-4.5
2.5,1.0
0.5,0.0
2.0,1.5
1.0,-4.5
-0.5,1.5
1.0,-2.5
1.0,2.5
1.5,-2.5
-0.5,-3.5
-1.5,0.0
18.0,15.5
-0.5,2.0
-1.5,-5.5
0.5,1.0
0.0,-4.5
3.5,4.0
0.5,-5.0
-0.5,-6.5
0.5,-4.5
0.5,1.5
2.0,-2.5
7.0,1.5
1.0,1.5
-0.5,-2.5
0.0,-3.0
1.0,3.0
0.0,-4.5
-1.0,1.5
2.5,-0.5
-0.5,0.5
-1.0,-5.0
-0.5,1.0
1.5,-2.0
0.5,0.5
1.5,-4.0
1.0,-0.5
1.0,1.5
0.0,-4.5
0.0,1.0
1.0,-2.0
1.0,2.0
3.5,0.5
1.0,-1.0
0.0,-0.5
26.5,20.5
-2.0,-1.0
0.0,-3.0
-1.0,-5.0
0.5,0.5
0.0,-4.5
1.5,-3.0
-1.5,0.5
-0.5,1.0
-1.0,-4.5
2.0,2.5
3.0,0.5
-0.5,1.0
1.0,-2.5
8.0,8.5
1.0,-1.0
-0.5,0.0
0.0,-3.5
1.5,-2.0
1.0,2.0
2.0,-2.5
0.0,0.5
0.0,-3.5
0.5,2.5
3.0,-1.0
0.0,0.5
1.0,-3.0
-0.5,1.5
3.0,-0.5
-1.0,0.5
0.5,-4.0
-1.0,-2.0
5.0,9.0
3.5,-1.5
-0.5,1.0
5.5,2.0
0.0,1.0
1.0,-4.5
-1.0,0.0
0.0,-3.5
0.5,1.5
3.0,0.0
0.0,1.0
1.5,-1.0
-0.5,0.5
2.5,-2.0
-0.5,1.0
1.0,-2.0
-0.5,2.5
5.5,4.5
0.0,2.5
4.5,3.0
1.0,2.5
1.5,-2.5
-1.5,0.0
2.0,-1.0
1.0,2.0
-1.0,-5.0
0.0,-1.0
0.0,-5.0
-0.5,0.0
-0.5,-4.5
3.0,-3.0
-0.5,0.5
2.5,-2.0
-0.5,0.5
5.0,-0.5
0.0,0.5
-0.5,-4.0
2.0,2.0
54.0,49.0
2.0,2.0
1.0,-3.5
0.0,0.5
-1.0,-4.5
-0.5,0.0
1.0,-3.5
1.0,-4.5
0.0,0.5
2.0,-3.0
-1.0,3.0
0.5,-4.0
1.5,0.0
2.5,-1.0
0.0,1.0
1.0,-4.0
0.5,0.5
1.0,-3.0
1.0,-3.0
-0.5,0.5
0.0,-4.0
0.0,-1.0
3.0,-2.0
-0.5,1.0
14.5,8.0
0.0,1.5
-0.5,-3.5
1.0,4.5
2.0,-1.5
0.0,-3.5
0.5,1.0
0.5,-3.5
-1.0,-2.0
1.0,1.5
2.0,-1.5
0.5,-4.5
0.5,1.5
1.0,-4.0
-0.5,-1.5
0.5,-5.5
4.0,4.5
-0.5,-4.0
0.0,1.0
10.0,4.0
0.5,1.0
-1.5,-5.5
-0.5,1.0
4.5,0.0
-1.0,-2.5
-0.5,0.0
-1.0,-3.5
