GODO,RAVENNA
0.0,-4.0
2.0,-1.5
-0.5,-3.5
2.0,-2.5
2.0,-0.5
0.5,-1.5
0.0,-2.0
0.0,-4.0
0.0,-4.0
5.5,3.5
16.5,15.0
0.0,-4.5
18.5,14.0
3.0,-1.5
6.5,3.5
3.5,1.5
7.0,4.5
0.5,-3.5
1.5,-2.0
2.0,-1.0
2.5,0.0
3.0,-0.5
5.5,4.5
1.5,-0.5
1.0,-0.5
5.0,2.5
18.5,18.0
0.5,-1.5
7.5,4.0
0.0,-3.0
7.0,4.5
0.5,-3.5
4.0,1.0
4.5,2.5
7.5,4.0
6.0,4.0
0.5,-2.0
4.5,3.5
51.0,46.5
35.5,33.5
11.5,5.5
8.0,3.5
8.0,6.5
0.0,-3.0
4.0,1.5
2.0,0.5
0.0,-2.5
2.5,-1.0
4.5,2.5
15.0,11.5
0.0,-1.0
3.5,0.5
8.0,4.5
0.0,-4.5
8.0,5.5
7.5,4.5
7.0,3.0
10.5,10.5
4.0,1.5
-0.5,-2.5
46.5,42.0
5.5,3.0
3.5,2.0
6.5,5.5
1.5,0.5
25.0,23.5
3.5,-0.5
5.5,3.5
4.0,3.0
0.5,-3.5
7.0,6.0
3.5,1.5
2.0,-0.5
1.5,-1.0
4.0,2.0
5.5,2.5
6.5,5.5
3.5,2.0
1.5,-3.0
4.0,2.0
2.5,-1.0
1.0,-3.5
2.0,-0.5
7.5,5.0
4.0,2.0
7.5,5.0
1.0,-2.0
4.0,1.5
0.5,-1.5
13.5,20.0
66.5,64.5
125.0,123.5
6.5,6.5
0.0,-3.5
3.5,0.0
4.5,3.0
0.0,-3.5
4.5,2.5
-1.0,-4.0
5.5,1.0
2.5,0.0
10.0,7.0
3.5,1.5
0.5,-3.5
15.5,16.5
4.0,1.5
1.5,-0.5
6.5,2.5
-0.5,-4.5
7.0,4.0
0.0,-2.0
7.0,4.5
13.5,10.5
1.0,-1.5
3.0,1.0
-0.5,-4.5
1.5,-3.5
20.5,16.0
8.0,5.0
0.0,-3.5
8.5,7.0
1.0,-1.0
13.0,11.0
1.5,-2.0
0.0,-3.0
6.5,2.5
5.5,2.5
3.0,1.0
4.5,-0.5
4.5,1.5
3.0,0.5
0.0,-4.0
6.5,5.0
5.0,2.5
2.0,-1.5
2.5,-1.0
1.0,-1.5
8.0,7.0
2.5,-0.5
2.0,1.0
9.5,9.0
59.5,55.0
2.0,0.0
4.0,0.5
6.5,5.5
0.0,-3.0
2.5,-2.0
0.5,-2.5
1.0,-1.5
0.0,-2.0
0.0,-4.0
5.5,1.0
16.0,12.0
5.5,2.5
3.0,-2.0
0.0,-2.5
1.5,-1.0
3.0,1.0
3.5,0.5
4.5,1.5
2.0,0.5
1.5,-1.0
-0.5,-3.0
8.0,7.0
1.0,-2.0
6.5,3.5
2.5,0.0
2.5,0.5
6.0,3.5
1.5,-1.0
0.5,-3.0
9.5,7.0
8.5,5.5
0.0,-4.0
0.0,-2.0
6.0,4.5
0.5,-3.5
4.0,1.0
3.0,0.5
3.0,0.5
1.5,-1.0
1.5,-1.0
6.0,6.5
58.0,54.5
0.0,-3.0
0.5,-2.5
7.5,3.5
2.5,-0.5
0.0,-3.0
1.0,1.5
12.0,7.5
4.0,2.0
3.5,0.0
2.5,-1.5
4.5,1.5
2.5,-0.5
5.0,0.0
15.5,12.0
4.0,1.5
1.5,-0.5
2.0,-1.5
0.0,-1.0
5.5,1.0
2.5,1.0
11.0,8.5
4.0,-0.5
6.0,5.5
10.0,8.5
17.5,14.5
2.0,-1.5
4.0,1.0
1.5,-1.0
0.0,-3.0
10.5,7.0
36.5,33.0
23.5,22.0
0.0,-4.0
1.0,-1.5
0.5,-1.5
2.5,0.0
2.0,-1.0
0.0,-1.5
-0.5,-4.5
0.5,-2.0
0.5,-2.5
3.0,0.0
6.5,7.5
0.0,-3.5
3.5,2.0
2.5,2.5
0.5,-0.5
2.5,0.0
4.5,1.5
2.5,-1.5
16.0,12.0
1.0,-1.5
3.5,0.0
4.5,2.5
3.0,0.0
-0.5,-4.0
2.5,0.5
2.0,0.0
1.0,-1.5
0.0,-3.0
6.0,4.5
16.5,13.0
10.5,8.5
0.0,-2.5
3.0,-1.0
1.0,-2.0
4.5,2.5
6.0,2.0
5.5,3.5
0.5,-3.0
1.0,-3.0
5.5,2.0
1.0,-2.0
7.0,3.0
4.5,2.0
5.5,2.5
0.0,-2.0
1.0,-2.5
22.0,20.0
22.5,20.5
1.0,-1.5
18.0,13.5
2.5,-1.0
0.0,-2.5
-0.5,-5.0
6.0,4.0
2.5,0.5
1.0,0.0
3.5,2.5
2.0,-0.5
17.5,15.5
1.5,-2.0
1.0,-1.0
1.0,-1.5
8.0,3.5
1.0,-0.5
-0.5,-3.0
4.0,2.0
4.5,1.5
1.5,-3.0
4.0,1.5
0.0,-3.5
1.0,-2.0
4.0,5.5
-0.5,-2.5
4.5,0.5
1.5,-1.0
0.5,-2.5
2.0,-2.5
2.5,-0.5
-0.5,-3.0
3.5,1.0
2.5,0.0
5.0,2.0
5.5,2.0
0.5,-2.5
0.5,-4.0
0.5,-2.5
3.5,2.5
0.5,-3.5
0.5,-2.0
0.5,-2.5
10.0,9.0
2.0,-0.5
0.5,-4.0
7.0,3.0
7.5,5.0
5.5,4.0
2.5,-2.0
5.0,3.5
5.0,2.5
5.0,4.5
1.0,-2.5
7.5,6.0
3.0,0.0
4.0,0.0
10.0,9.0
6.0,4.0
2.0,-1.0
5.5,4.0
1.0,-2.5
5.5,1.0
9.0,6.0
0.5,-2.0
3.0,0.0
3.0,1.0
2.0,-1.0
11.0,8.0
10.0,9.0
1.5,-2.0
2.5,0.0
1.5,-0.5
4.5,4.5
77.5,73.0
5.5,5.0
4.5,4.0
