BARBIANO,LUGO
1.0,0.5
3.0,2.5
19.0,18.5
4.5,5.0
3.0,2.5
3.5,2.5
19.5,19.0
4.0,3.5
7.5,8.0
5.5,4.5
8.0,6.5
3.5,2.0
2.0,1.5
21.5,20.0
11.0,11.0
5.5,4.5
6.5,6.5
8.0,6.5
6.5,5.5
4.0,4.0
3.5,3.5
7.0,5.5
8.5,7.0
2.5,2.5
7.0,7.5
2.5,2.0
3.0,3.0
127.0,126.5
9.0,7.5
2.0,1.5
16.0,14.5
6.0,5.5
1.5,1.0
2.0,1.5
6.0,5.0
2.5,2.0
3.0,3.5
6.0,5.5
4.0,4.5
6.5,6.5
1.5,0.5
4.5,4.0
7.0,5.5
2.0,1.5
1.5,1.5
12.0,10.5
2.0,0.5
4.0,3.5
3.5,4.0
3.5,3.5
4.0,3.5
6.0,5.5
7.0,6.0
4.5,5.0
3.0,3.0
1.0,0.5
1.0,1.0
4.0,3.5
5.5,5.0
7.5,7.0
13.0,11.5
11.5,11.5
3.5,3.0
26.5,25.5
3.5,3.0
1.5,1.5
3.5,3.0
6.5,5.0
6.5,6.5
3.0,3.0
9.5,8.0
5.0,4.5
2.5,2.5
7.0,6.5
1.0,0.5
5.0,3.0
5.0,4.0
4.0,3.0
1.5,1.0
7.0,6.0
1.0,0.5
3.0,3.0
2.5,2.0
4.5,4.5
1.5,1.0
1.0,0.5
1.5,1.5
1.5,1.0
4.0,4.0
1.5,1.0
4.5,4.5
2.5,2.0
5.0,5.0
4.5,4.5
9.5,8.5
8.5,7.5
5.0,4.5
2.0,1.5
1.0,0.5
4.0,3.0
4.0,4.0
6.0,6.0
2.5,2.5
4.0,4.0
4.5,3.5
9.0,8.0
8.5,8.5
36.5,35.0
7.0,6.0
10.5,9.0
3.5,3.0
4.0,3.0
3.0,2.5
3.0,2.5
8.5,8.0
4.0,4.0
4.5,5.0
4.5,4.5
