MONZUNO,GRIZZANA
-0.5,1.5
1.0,1.0
-1.0,-0.5
0.5,0.5
-0.5,-0.5
1.5,1.5
-1.5,-1.5
-0.5,0.0
3.0,3.5
0.0,-1.5
2.0,1.5
3.0,2.0
-0.5,0.0
3.0,4.0
1.5,1.0
0.0,-0.5
22.0,24.5
1.0,0.0
0.0,0.0
0.0,-1.5
-1.0,-1.0
0.0,0.0
-0.5,0.5
2.0,3.0
16.5,16.5
1.0,1.5
0.5,0.5
7.0,7.5
3.0,3.0
1.0,1.0
1.0,1.0
2.0,2.5
4.0,4.5
-0.5,0.5
0.0,0.0
0.0,0.0
0.5,0.5
2.5,2.0
-1.0,-1.0
2.5,2.5
-0.5,-1.0
-2.5,-2.5
2.5,3.0
0.0,-0.5
-0.5,-0.5
2.0,1.5
-0.5,-1.0
-0.5,-1.0
-1.0,-1.0
2.5,1.5
-0.5,-1.0
-0.5,-1.0
-1.0,-0.5
0.0,0.0
0.0,0.0
0.0,0.5
4.0,3.0
3.5,3.5
-1.0,-1.0
-0.5,-1.5
0.5,-0.5
1.5,0.5
0.0,-1.0
1.0,0.5
-0.5,-1.0
1.5,3.0
-1.0,-1.0
-0.5,0.5
-1.0,0.0
1.0,1.0
0.0,-0.5
0.0,-0.5
-0.5,1.0
3.5,4.0
0.5,0.0
1.0,1.5
1.0,0.0
-0.5,-1.5
0.0,-1.0
-0.5,0.0
2.0,2.5
-0.5,-0.5
2.0,2.5
-1.0,-1.0
0.0,-1.5
0.5,0.0
1.0,1.0
-1.0,12.5
2.0,1.5
-0.5,0.0
-0.5,-0.5
-1.0,-0.5
-0.5,-0.5
-0.5,-0.5
3.5,3.0
0.0,-0.5
-1.0,-1.5
1.0,0.5
0.5,0.0
0.5,0.5
-0.5,-1.5
-0.5,-1.0
0.0,0.0
2.5,2.5
-1.0,-0.5
1.5,1.5
-0.5,-1.0
1.5,1.0
0.5,0.0
1.0,1.5
-1.0,-1.0
2.5,1.5
-1.0,-1.5
3.0,3.0
0.0,-0.5
1.5,2.0
0.0,-1.0
-0.5,-1.0
4.5,5.0
1.0,0.5
0.5,-0.5
1.0,0.0
-1.0,-1.0
0.5,0.0
-1.0,-1.5
0.5,0.0
86.5,87.0
2.0,2.5
63.5,70.5
0.0,-0.5
0.0,-1.0
4.5,3.5
0.0,-1.0
2.5,2.5
0.5,1.0
3.0,3.5
-0.5,1.5
1.0,1.0
5.5,5.0
3.5,3.0
-1.0,-1.0
1.0,1.5
-0.5,-1.0
0.5,0.0
-0.5,-1.0
5.5,6.0
0.5,0.5
0.0,0.5
-0.5,-1.0
1.0,0.0
-1.0,-0.5
0.0,0.0
-1.0,-1.5
6.0,6.0
0.5,1.0
-1.0,-1.0
1.0,0.5
0.5,-0.5
-1.5,-1.5
1.0,1.0
2.5,2.0
0.0,-0.5
0.0,0.5
2.5,3.0
-1.5,1.5
0.5,0.5
-1.5,-1.5
1.0,0.5
1.0,0.0
0.5,-0.5
-1.0,-1.0
0.0,1.0
2.5,3.0
1.0,1.5
-1.0,-0.5
3.0,3.0
0.0,0.5
1.0,1.0
-1.0,-1.0
6.5,7.0
0.5,0.0
0.5,0.0
0.5,-0.5
5.0,6.5
-1.0,-1.5
0.5,-0.5
6.0,4.5
3.5,6.5
-1.0,-1.5
0.5,0.0
-1.5,-1.5
1.0,1.0
-1.0,-1.0
2.0,2.5
-0.5,-1.5
0.0,0.0
7.0,6.5
28.5,34.5
-1.0,-1.0
-0.5,-0.5
1.5,2.0
-1.0,0.0
1.0,1.5
-0.5,-0.5
1.5,1.5
0.0,-0.5
1.0,2.0
-0.5,-1.0
0.5,0.5
5.0,5.5
2.0,2.0
0.5,0.5
1.0,0.0
0.5,0.5
-0.5,-1.5
0.0,0.0
-0.5,-1.5
1.0,1.5
0.5,0.5
3.5,3.0
-0.5,-1.0
1.5,2.0
0.0,2.0
-0.5,0.0
-1.0,-0.5
1.0,0.5
0.0,-0.5
1.5,2.0
0.5,0.5
5.5,5.0
1.0,1.0
0.0,0.0
4.0,5.5
3.0,3.5
-0.5,1.5
3.0,2.0
-0.5,-1.0
0.0,-0.5
-1.0,-1.0
4.0,4.5
-0.5,-1.0
75.0,74.0
0.0,-0.5
1.5,1.0
-0.5,-0.5
-0.5,0.0
3.0,3.0
1.0,0.0
-1.0,-1.0
