CARPI,GONZAGA-REGGIOLO
1.5,2.5
1.0,2.0
4.5,4.5
0.5,1.5
4.0,5.5
1.5,1.0
1.0,3.0
-1.0,-0.5
1.0,1.5
2.5,3.0
4.5,3.0
11.0,13.5
3.5,15.5
0.5,1.5
3.0,3.0
-1.5,-1.5
3.5,4.5
-1.0,-0.5
-1.0,-0.5
20.5,20.5
1.5,0.0
-0.5,-2.0
2.0,3.0
0.0,1.0
3.0,4.0
0.5,0.5
1.0,3.0
-1.5,3.0
9.0,16.5
0.5,42.0
2.5,0.5
2.0,1.0
6.0,5.0
4.5,6.0
7.0,9.0
5.5,6.5
2.5,2.5
3.5,4.5
2.0,4.0
3.5,2.5
4.0,2.5
0.5,5.5
3.0,3.5
1.0,2.0
6.5,7.0
0.0,-2.0
9.5,10.0
2.0,2.5
0.5,-1.0
3.5,5.0
8.5,8.0
7.0,5.5
2.0,3.5
5.0,16.5
0.5,1.0
1.5,4.5
3.0,12.0
3.0,1.5
0.0,1.0
-1.0,1.5
0.5,1.5
2.0,5.5
19.0,24.0
1.5,6.0
5.0,7.0
6.5,6.0
1.0,-1.0
1.0,1.5
1.0,1.0
0.5,1.5
1.0,2.0
3.5,1.5
4.5,6.5
0.5,2.0
0.5,4.0
2.5,2.5
-0.5,1.0
1.0,2.5
-1.0,-1.0
6.0,6.5
2.0,0.5
3.5,4.0
3.5,6.0
3.5,9.5
-0.5,0.0
4.0,4.5
7.0,13.0
5.5,8.5
2.5,2.0
1.0,3.5
0.5,-1.5
5.5,6.5
5.0,7.5
0.0,-1.0
2.5,4.5
-0.5,-0.5
10.5,17.0
2.0,3.5
3.0,5.0
0.5,2.0
1.0,2.0
1.0,1.0
3.0,1.0
5.0,5.5
21.5,31.5
8.5,10.5
1.5,2.0
4.5,6.0
19.0,27.0
2.5,3.0
6.5,9.0
1.5,2.0
9.0,10.5
7.0,7.0
7.5,8.0
1.0,4.0
3.0,3.0
3.5,3.5
2.5,10.5
