RICCIONE,PESARO
8.0,6.0
7.0,5.5
2.5,0.5
0.0,-2.5
33.0,34.5
5.0,5.5
0.0,-1.0
13.0,11.5
6.0,5.0
1.0,0.5
0.5,-0.5
0.5,-1.5
1.5,0.5
13.0,12.0
-0.5,-1.5
6.5,4.5
3.5,3.0
11.5,11.0
3.5,1.5
0.0,-1.5
8.0,9.0
2.5,3.5
3.5,1.0
18.0,15.0
-0.5,-2.0
11.0,10.5
-1.0,-2.5
0.5,-1.5
3.5,1.0
24.5,24.0
5.5,5.0
1.0,-0.5
6.0,5.5
-1.0,-2.0
3.0,1.0
6.0,3.0
8.5,6.0
4.0,2.0
0.0,-1.5
4.0,2.5
-1.0,-2.5
5.5,4.5
7.5,7.0
5.0,2.5
0.5,-1.5
5.0,4.0
4.0,1.5
10.0,8.0
-0.5,-2.0
-0.5,-1.0
9.0,8.5
0.0,-3.0
10.5,10.0
11.0,8.5
7.5,5.5
13.5,11.0
3.5,22.5
0.5,-2.0
-0.5,-0.5
17.5,15.0
1.5,4.0
20.0,20.5
5.0,8.0
6.0,7.0
6.0,4.5
0.0,-2.5
4.5,1.5
7.5,7.0
24.5,24.5
1.0,2.0
39.0,40.0
0.5,-1.5
17.0,24.0
-0.5,-2.5
14.0,13.5
0.0,-1.5
1.0,1.0
2.0,-0.5
4.0,5.5
7.5,6.5
6.0,5.5
0.0,-1.5
1.0,-1.5
1.0,0.5
0.0,-1.0
-0.5,-2.5
1.0,-1.0
0.5,-1.0
6.5,4.0
6.5,6.0
-0.5,-2.0
-1.0,-2.0
12.0,10.0
18.5,15.0
9.0,5.5
41.0,38.0
4.0,2.5
0.5,-1.0
30.5,26.0
11.0,11.0
4.0,3.5
18.0,17.0
31.0,28.0
0.0,-2.0
9.5,7.5
12.0,10.0
0.5,-1.5
3.0,1.0
6.5,5.0
4.0,3.0
0.0,-2.0
1.5,-1.0
9.5,7.5
2.5,0.5
7.5,7.5
7.5,5.5
0.0,-1.0
17.0,15.0
3.5,5.5
12.5,13.0
9.5,9.0
0.5,-1.5
1.5,0.0
1.5,-0.5
9.5,9.5
1.5,-1.5
9.0,8.5
