QUATTRO VILLE,CARPI
-2.5,1.5
-4.0,1.0
-3.0,4.5
-1.5,0.5
0.5,4.0
-2.5,1.5
-3.0,1.0
-3.0,-1.0
1.0,1.0
-1.0,2.5
0.5,4.5
-3.0,11.0
1.0,3.5
-2.5,0.5
-3.5,3.0
-2.5,-1.5
-3.5,3.5
-3.5,-1.0
-1.0,-1.0
16.0,20.5
-4.5,1.5
-5.5,-0.5
-4.0,2.0
-3.5,0.0
-2.0,3.0
-4.0,0.5
-5.0,1.0
-3.5,-1.5
-4.0,9.0
-4.0,0.5
-2.0,2.5
-1.5,2.0
-1.5,6.0
-3.5,4.5
6.5,7.0
-2.5,5.5
-2.0,2.5
-4.5,3.5
-3.0,2.0
3.0,3.5
-3.0,4.0
-4.0,0.5
-4.0,3.0
-1.0,1.0
-2.0,6.5
-3.5,0.0
-3.5,9.5
-3.5,2.0
-3.5,0.5
-4.5,3.5
-3.0,8.5
-2.0,7.0
-3.5,2.0
-5.0,5.0
-4.5,0.5
-2.5,1.5
-3.0,3.0
-4.0,3.0
-4.0,1.0
-3.5,0.0
-3.0,-1.0
-4.5,0.5
-3.0,2.0
-4.0,19.0
-4.5,1.5
-2.5,5.0
-3.0,6.5
-5.0,1.0
-2.5,1.0
-5.5,1.0
-2.5,0.5
-3.5,1.0
-2.5,3.5
-3.0,4.5
-1.5,0.5
-1.5,0.5
3.5,2.5
-4.0,-0.5
-4.0,1.0
-4.5,-1.0
-4.0,6.0
-3.5,2.0
-4.0,3.5
-3.0,3.5
1.0,3.5
-3.5,-0.5
2.5,4.0
-2.0,7.0
-1.5,5.5
-2.5,2.5
-2.5,1.0
-3.5,0.5
-1.5,5.5
-4.5,5.0
-3.0,0.0
0.5,2.5
-4.0,-0.5
-4.0,10.5
-3.5,2.0
-2.0,3.0
-4.0,0.5
-1.5,1.0
-2.5,1.0
-5.0,3.0
-2.5,5.0
7.0,21.5
-3.0,8.5
-2.0,1.5
-3.5,4.5
20.0,19.0
-3.5,2.5
6.0,6.5
-2.0,1.5
-2.0,9.0
-4.0,7.0
-5.0,7.5
-3.5,1.0
-4.5,3.0
-1.5,3.5
-5.0,2.5
