SAMOGGIA,CASTELFRANCO D'EMILIA
1.5,0.0
1.0,0.0
0.5,-1.0
1.5,0.5
5.0,3.0
1.5,0.5
5.0,3.5
3.0,1.5
1.0,-0.5
0.5,-1.0
2.0,1.5
2.0,1.0
1.5,0.0
15.5,13.5
1.5,1.5
1.0,0.0
1.5,0.0
1.0,0.0
6.0,4.5
0.5,-0.5
1.0,-0.5
4.5,8.0
1.0,0.5
1.5,0.5
2.5,1.5
1.0,1.0
1.5,0.5
1.5,0.0
1.0,0.0
2.0,0.5
2.0,0.0
3.0,2.0
2.0,2.5
1.5,0.0
1.0,0.0
1.0,0.0
0.5,0.0
0.5,-1.0
2.0,1.0
1.0,-0.5
1.0,-0.5
0.5,0.5
2.5,1.0
1.0,-1.0
0.5,-0.5
1.0,0.0
8.5,7.0
1.5,0.5
2.0,1.0
1.5,0.0
1.5,0.0
1.5,0.5
0.5,-0.5
4.0,4.0
1.5,0.0
4.0,2.5
1.0,0.0
1.0,-0.5
1.0,0.0
3.0,3.5
2.0,1.0
2.5,1.0
1.5,0.0
1.0,-1.0
2.0,2.5
1.0,-0.5
1.0,-0.5
2.5,1.5
4.0,3.0
1.5,0.5
6.0,4.5
1.5,0.5
1.5,0.5
1.0,0.0
1.5,1.0
4.0,3.5
1.0,0.0
2.5,1.5
0.5,-0.5
1.5,0.5
1.0,-0.5
3.5,2.0
1.0,1.0
4.5,3.0
1.5,0.5
1.0,-0.5
2.0,0.5
1.5,0.5
2.5,2.5
2.0,0.0
1.5,1.0
1.5,0.5
2.5,1.5
1.0,-0.5
3.5,1.5
4.0,2.5
1.0,-0.5
1.0,-0.5
1.5,0.0
0.5,0.0
1.0,0.0
1.5,0.0
16.0,15.0
0.5,0.0
1.5,0.5
1.0,0.0
6.0,7.5
1.0,0.5
38.0,37.0
0.5,0.0
1.0,0.0
2.0,2.0
1.5,1.5
1.5,0.0
3.0,3.0
1.0,0.5
5.5,4.0
3.5,2.5
1.5,0.5
1.5,1.0
1.5,0.5
1.0,-0.5
0.5,-1.0
1.5,0.0
10.5,14.5
1.5,0.5
2.0,1.0
1.0,0.0
3.0,2.0
2.5,0.5
1.0,-0.5
1.0,-0.5
0.5,0.0
1.0,0.0
1.0,0.0
1.0,-0.5
1.5,0.5
1.0,1.0
0.5,-1.0
3.0,2.0
1.0,0.5
2.0,1.0
0.5,-0.5
