ROMA TIBURTINA,LATINA
69.5,63.5
10.0,2.0
3.5,-2.0
9.5,4.0
8.5,3.0
4.0,2.0
14.5,5.5
26.5,18.5
14.0,7.0
18.0,11.0
18.0,13.0
14.5,6.5
5.0,-4.0
7.0,0.5
16.0,15.5
6.5,2.0
37.0,33.5
2.5,-4.0
4.0,3.0
2.0,1.0
3.5,1.5
10.5,14.5
5.0,1.5
6.0,-2.0
26.0,15.5
3.0,-0.5
19.5,11.5
20.0,23.5
41.0,38.0
2.0,-3.5
37.5,29.0
