PESCARA,GIULIANOVA
2.5,4.5
4.5,2.0
21.0,21.0
-3.5,-1.5
-1.5,1.5
3.5,4.0
-2.0,9.0
2.5,2.0
8.0,6.0
14.0,11.5
3.0,4.0
-3.0,-2.5
-2.0,-2.5
11.5,10.5
2.0,0.5
-2.0,-2.5
3.0,3.0
0.5,-0.5
1.5,1.5
10.0,7.5
0.5,3.0
3.5,3.0
2.5,1.5
3.5,4.0
0.5,0.0
-2.0,-1.0
-1.0,3.0
9.0,7.0
-1.0,-3.0
10.0,7.5
-2.0,-2.0
-2.0,4.0
1.5,2.0
9.0,8.0
0.0,1.0
7.5,6.0
0.5,0.0
7.5,6.5
-3.0,2.0
6.0,8.0
2.0,2.5
-3.0,-2.5
-1.5,1.5
22.5,19.5
6.5,4.5
0.0,-1.5
22.0,21.0
-3.5,-2.0
-2.0,3.5
3.5,2.5
11.0,14.5
-3.0,-2.5
3.5,3.5
6.5,4.0
10.0,7.0
4.5,2.5
-1.5,-1.5
6.5,5.0
-2.5,-1.0
2.5,4.0
6.5,9.5
-1.0,-3.5
-1.0,-1.0
0.0,1.0
1.5,2.0
11.0,8.5
-0.5,1.5
3.0,2.5
2.5,2.5
9.0,8.0
18.5,15.5
3.0,2.0
-2.0,-1.5
8.0,6.0
4.0,3.5
0.0,-0.5
-1.0,1.5
-2.0,-2.5
-1.5,-1.5
4.5,2.0
2.0,-0.5
7.5,6.0
10.0,12.0
-2.0,0.0
3.0,3.0
9.0,9.5
10.5,9.5
2.0,3.0
20.0,17.0
-2.0,1.5
1.0,-0.5
2.0,6.5
8.5,7.0
11.5,8.5
5.5,16.0
7.5,6.5
14.0,16.0
2.5,2.0
-0.5,-2.0
0.0,2.5
7.5,5.0
10.0,9.5
29.5,47.0
9.5,8.5
-1.0,-2.0
14.0,13.0
0.0,-1.5
23.0,22.0
10.0,7.0
1.0,1.5
2.0,2.0
4.0,2.5
10.5,14.5
-2.0,1.5
11.0,11.5
1.5,2.5
-1.0,1.5
2.0,2.0
2.5,1.0
4.0,3.0
-3.5,2.5
-2.5,-2.5
1.5,-0.5
9.0,8.5
-2.0,7.5
10.5,10.0
0.0,-0.5
-1.0,4.0
1.0,0.0
3.0,2.0
-0.5,11.0
-3.5,-3.5
4.0,2.0
1.0,-1.0
-0.5,2.0
-2.0,2.0
-1.0,-2.0
5.0,6.0
5.0,4.0
4.0,2.5
-0.5,-2.0
