PESARO,ANCONA
-0.5,1.0
4.5,0.5
18.0,15.5
44.0,41.5
11.5,6.0
6.0,2.5
6.5,27.0
8.0,5.0
18.5,12.5
-0.5,-1.5
9.5,5.0
0.5,-1.0
2.5,4.0
7.5,5.5
7.0,2.5
17.5,13.5
2.5,3.0
-0.5,-2.0
8.5,9.0
2.0,1.0
13.0,12.5
1.5,0.0
13.0,12.0
0.0,-3.5
28.0,25.0
12.0,9.0
0.0,-4.5
8.5,7.5
3.0,2.0
96.5,96.0
12.0,12.0
13.0,11.5
11.5,7.0
1.5,-3.0
1.0,-2.5
21.5,17.0
-0.5,-2.0
2.5,-1.5
18.0,12.5
15.0,12.0
-0.5,-2.5
23.0,21.0
11.5,9.0
20.0,19.5
24.0,21.5
19.5,17.5
36.0,35.5
22.5,20.5
47.0,46.0
44.5,42.0
7.5,4.0
7.5,5.0
1.0,-2.0
12.5,12.5
23.0,20.5
22.0,25.5
22.5,29.0
1.5,1.0
7.0,6.5
-0.5,-1.5
36.5,52.0
25.0,21.0
-2.0,-6.0
1.5,0.0
-1.5,-4.5
12.0,11.0
6.0,0.0
5.0,0.0
7.5,4.0
5.5,12.5
41.0,38.5
1.5,-1.0
78.5,83.0
6.5,4.5
-0.5,6.0
30.5,28.5
12.5,10.0
10.5,5.5
3.5,0.0
41.5,35.0
-0.5,-1.5
56.0,52.5
10.5,11.5
21.5,21.5
39.0,39.0
6.5,4.0
24.0,25.0
33.5,32.5
-0.5,-5.5
3.5,-2.5
12.5,11.0
6.5,5.0
14.0,12.0
31.5,29.0
1.5,-1.5
1.0,-0.5
25.0,20.5
21.5,21.0
20.5,18.0
21.5,20.0
3.5,-0.5
0.0,-3.5
8.5,5.5
31.0,29.5
15.0,9.0
22.5,24.0
11.5,13.0
7.5,8.0
7.5,4.5
1.5,-4.0
9.0,8.0
11.5,9.5
20.5,21.5
3.0,2.5
16.0,11.0
13.0,8.0
47.0,46.0
24.5,23.5
8.0,4.0
23.0,27.0
0.0,-4.5
60.0,61.5
42.5,38.5
1.0,-0.5
10.5,7.5
22.0,26.5
3.0,-2.5
8.0,8.5
20.5,18.5
40.5,40.0
11.0,13.0
12.0,10.5
9.5,7.5
