ORTE,ROMA TERMINI
20.0,40.0
-1.0,7.0
-6.0,-1.0
20.0,57.0
21.5,18.0
-1.0,0.0
19.5,13.0
8.5,4.0
-4.5,11.0
21.5,17.0
2.0,9.0
1.5,32.0
18.0,25.0
19.0,15.0
23.0,27.0
-4.0,6.0
19.5,17.0
-4.0,12.0
12.5,11.0
17.5,11.0
-2.5,-1.0
-3.0,5.0
34.0,73.0
58.5,52.0
3.5,6.0
20.5,14.0
20.0,34.0
0.0,11.0
4.5,4.0
38.0,36.0
20.5,30.0
20.0,32.0
3.0,7.0
-5.0,1.0
-1.0,7.0
28.0,46.0
-1.5,1.0
1.5,3.0
22.0,22.0
27.5,27.0
16.5,15.0
19.0,21.0
21.0,13.0
9.0,7.0
3.5,13.0
6.5,9.0
1.0,5.0
2.0,6.0
19.5,36.0
13.0,21.0
20.5,14.0
-0.5,-3.0
20.5,19.0
-0.5,50.0
1.0,2.0
1.0,8.0
-2.0,3.0
-3.5,2.0
1.0,4.0
19.0,16.0
0.5,-2.0
-6.0,5.0
-2.5,10.0
-3.0,-2.0
14.5,16.0
92.0,92.0
13.5,30.0
-1.0,10.0
5.0,22.0
-5.5,0.0
17.0,12.0
3.0,9.0
-4.0,8.0
4.0,3.0
21.5,17.0
19.0,25.0
-0.5,0.0
23.5,21.0
-0.5,2.0
-4.0,15.0
0.0,0.0
36.5,46.0
0.5,0.0
4.5,2.0
11.0,7.0
-0.5,17.0
-4.5,8.0
11.0,25.0
