MONSELICE,PADOVA
38.5,36.0
-1.0,-1.5
-1.5,-2.5
-2.0,-5.0
-1.5,-3.0
0.0,-1.0
-2.0,-2.5
0.0,-1.5
-1.5,-3.0
-0.5,-3.0
1.0,0.0
1.0,-3.5
3.0,0.0
-0.5,-3.0
-1.0,-1.0
-0.5,-5.0
-1.5,-4.5
-1.0,-3.0
0.0,-2.5
-1.5,-1.5
1.0,-1.5
-1.0,-4.0
-1.5,-1.5
-1.0,-5.5
1.0,-2.5
2.0,1.5
0.0,-2.5
2.0,-0.5
0.0,-2.5
5.5,1.5
0.5,-2.0
-1.5,-1.0
-1.0,-4.5
0.5,-2.5
-1.0,0.0
-2.0,-3.5
-0.5,1.0
-1.5,-4.5
-1.5,-1.0
-1.0,-5.0
-1.5,-1.0
-1.5,-3.0
-1.0,-3.0
-1.0,-3.0
-0.5,-3.5
-2.0,-4.5
-0.5,-3.0
-1.5,-2.5
-1.0,-5.5
1.0,-0.5
-1.0,-4.5
-2.0,-5.0
-1.0,-4.5
-0.5,-2.5
0.0,-4.0
0.5,2.0
1.0,1.0
0.0,-1.0
-2.0,-2.0
-2.0,-5.5
1.0,0.0
1.0,-2.5
-2.0,-6.0
38.0,49.5
-1.0,-4.0
-0.5,-3.5
-2.0,-3.0
0.5,0.5
-0.5,-2.5
7.5,6.0
0.0,-2.0
-1.5,-3.5
0.5,-3.5
-0.5,-4.5
-1.0,-5.5
-1.5,-3.0
-1.0,-4.5
0.0,-3.0
-1.5,-2.5
-1.5,-4.5
-0.5,-5.0
-1.0,-2.0
-0.5,-3.5
0.5,-2.0
-2.0,-4.0
0.0,-1.5
-1.5,-3.5
1.5,-1.0
-1.0,-5.0
1.0,-3.0
-0.5,-3.0
9.5,15.0
-1.5,-4.5
-0.5,-2.5
-2.0,-5.0
-2.0,-5.0
-0.5,-4.5
-0.5,-4.0
-1.5,-4.5
-1.0,-1.5
2.0,-0.5
0.5,-1.0
6.0,11.5
-1.5,-3.5
-1.0,-2.0
-1.0,-3.5
0.5,-0.5
-1.5,-4.5
-2.5,-4.5
0.0,1.0
-1.5,-2.0
-1.0,-4.5
0.5,-3.0
-0.5,-3.5
-0.5,-2.5
0.0,-1.0
1.0,-2.0
-2.0,-4.5
27.5,29.0
-1.5,0.0
-2.0,-4.5
-1.0,-5.0
-1.5,-3.5
-0.5,-3.0
1.5,0.0
1.0,-2.5
