CAMPOSANTO,CREVALCORE
8.0,4.0
6.5,2.5
3.0,-1.0
5.5,1.5
3.5,-0.5
11.5,8.0
4.5,0.5
3.5,0.0
3.5,-0.5
4.5,0.5
4.5,0.0
4.5,0.5
4.5,0.0
5.0,1.0
4.5,0.0
4.0,0.0
7.5,3.5
7.5,3.5
7.0,3.0
4.5,0.5
-0.5,-0.5
4.0,0.0
7.0,2.5
6.5,2.5
6.5,3.5
6.5,2.0
6.5,2.5
7.0,3.0
6.0,2.0
4.5,1.0
6.5,2.5
6.0,1.5
3.0,-1.5
7.0,3.5
3.5,-0.5
5.0,1.0
5.0,0.5
5.5,1.0
4.0,0.0
5.5,1.0
4.0,-0.5
7.5,3.5
11.0,7.0
6.0,1.5
6.0,2.0
7.0,3.0
4.5,0.0
7.0,3.0
5.0,1.0
6.0,2.0
3.5,-0.5
5.0,1.0
5.5,2.0
6.0,1.5
4.0,-0.5
11.5,7.5
5.0,0.5
11.5,8.0
6.5,2.5
3.0,1.0
6.0,2.0
8.0,4.5
4.5,0.0
7.0,2.5
3.0,-1.0
7.0,3.0
3.5,-1.0
4.0,0.0
5.0,1.5
4.0,0.0
18.5,14.0
4.0,0.0
18.0,14.5
3.0,-1.0
3.5,-0.5
5.5,1.0
5.5,1.5
4.5,0.0
6.5,2.5
6.0,2.5
5.5,1.0
6.5,2.5
4.5,1.0
3.5,-0.5
5.0,1.0
4.5,0.5
3.5,-1.0
5.0,0.5
4.0,0.0
8.5,4.5
5.5,1.0
4.5,0.0
5.5,1.0
5.0,0.5
4.5,0.5
4.5,0.5
5.5,1.5
9.0,4.5
7.0,3.0
3.0,-1.0
9.0,4.5
4.0,-0.5
4.0,-0.5
6.0,2.0
4.0,0.0
4.5,0.0
8.0,4.0
4.5,0.5
10.0,6.5
4.5,0.5
6.0,2.0
7.0,2.5
7.0,3.0
6.5,3.0
7.5,3.0
4.0,0.0
9.5,5.5
4.0,-0.5
3.5,-1.0
10.0,5.5
7.5,3.0
6.0,2.0
4.0,0.5
6.5,2.5
7.5,4.0
5.5,1.5
6.5,2.5
13.5,9.0
