FIRENZE CASTELLO,FIRENZE RIFREDI
0.5,-0.5
2.0,1.0
-0.5,-1.0
0.0,-1.5
0.0,-1.0
4.5,5.5
10.5,9.0
1.0,-0.5
0.5,-1.0
3.0,2.0
-0.5,-2.0
3.0,2.5
3.5,1.5
0.0,0.0
0.0,-1.0
0.0,-1.0
-0.5,-1.5
0.5,4.0
3.0,2.0
0.0,-1.5
0.5,-1.0
0.0,1.0
1.5,0.5
-0.5,-1.5
0.5,-1.0
-0.5,7.5
0.5,-1.0
1.5,0.5
7.5,6.0
0.0,-0.5
9.5,10.0
3.0,26.5
-0.5,-1.5
-0.5,-1.5
1.0,0.0
1.5,2.5
11.0,9.0
2.0,2.5
1.0,-0.5
8.5,7.5
0.5,4.0
1.0,3.0
4.0,2.5
-0.5,-1.5
0.5,-1.0
0.0,-1.5
0.0,-1.5
0.0,-1.0
0.0,-0.5
0.0,-0.5
0.5,-0.5
1.0,10.5
0.0,-1.0
0.0,-1.5
2.0,1.0
3.0,1.5
2.0,0.0
4.0,2.5
1.0,0.5
0.0,0.0
3.5,5.0
0.0,1.5
8.0,6.5
1.5,2.0
6.5,5.5
3.0,2.0
0.0,-0.5
4.0,3.5
3.0,2.0
0.0,-1.5
1.0,-0.5
1.5,0.0
-2.0,-1.0
0.0,-1.5
1.5,0.0
-0.5,-1.5
10.0,10.0
2.0,1.5
0.5,-0.5
5.0,4.0
0.0,-1.5
3.0,1.5
1.5,-0.5
0.0,0.0
1.5,1.5
0.5,0.5
14.5,13.0
0.0,-1.5
4.0,4.0
0.5,1.0
0.0,-1.0
4.0,6.0
0.0,-0.5
-1.0,-2.0
29.0,27.5
0.5,2.5
0.5,5.0
3.5,2.5
-0.5,-2.0
0.0,-0.5
1.5,0.0
0.0,-1.5
0.0,-1.0
-0.5,-1.5
0.5,4.0
2.0,1.0
1.5,-0.5
0.0,-1.5
1.0,-1.0
0.0,-1.5
-1.0,-2.0
1.0,0.0
0.0,-0.5
7.5,6.5
-0.5,-1.5
3.0,1.5
0.5,-1.0
1.0,1.5
-0.5,-1.5
0.5,-0.5
6.0,4.5
-1.0,-2.0
-0.5,-2.0
0.0,-1.0
5.0,3.5
0.0,0.0
0.0,1.0
-0.5,-1.0
17.0,16.5
0.0,-1.5
0.0,1.0
11.0,10.0
-0.5,-1.5
-0.5,-1.5
0.5,-0.5
0.5,-1.0
0.0,-1.5
0.5,0.0
2.5,2.0
-0.5,-1.0
