MEZZANO,RAVENNA
2.5,1.0
2.5,0.5
1.0,4.0
27.5,25.5
1.0,5.5
0.0,-1.5
0.0,-2.0
2.5,1.5
0.5,0.0
0.0,-1.0
0.0,-1.5
1.0,-1.0
2.5,0.5
0.0,-1.5
0.0,0.0
1.5,1.0
-0.5,-2.0
0.0,-2.0
28.0,26.5
3.0,1.0
0.0,-2.0
0.5,-2.0
0.0,-1.0
0.0,-1.0
0.0,-1.0
-1.0,0.0
-0.5,-1.0
5.5,7.0
2.0,3.0
-0.5,-2.0
0.0,-2.0
2.5,0.5
1.5,0.5
0.0,-0.5
0.5,-1.0
3.5,2.0
-1.0,-1.5
-0.5,0.0
1.5,0.0
13.0,12.0
0.0,-1.0
0.0,-1.0
-0.5,-1.5
0.0,-2.0
1.0,-1.0
0.0,-2.0
-1.5,-1.0
3.5,2.5
2.0,0.5
-0.5,-1.5
11.5,13.0
-0.5,-1.0
0.5,-1.5
1.5,0.0
0.0,-2.0
1.5,0.0
1.5,0.0
-0.5,-0.5
1.0,0.0
-1.0,-1.5
6.5,4.5
-0.5,-1.5
0.0,-1.5
2.5,0.0
29.5,27.0
1.0,-1.5
-0.5,0.0
0.0,-1.0
0.5,-1.0
0.0,-1.0
0.0,-1.5
0.0,-1.5
0.0,-1.5
-1.0,-2.5
-0.5,-2.0
0.5,-1.0
4.0,2.5
2.5,1.0
0.0,-1.5
5.0,5.0
0.5,-1.0
1.0,1.0
0.0,-1.0
1.0,-0.5
-0.5,-1.5
6.5,4.5
0.0,-1.5
30.5,27.5
28.5,25.5
-1.0,0.5
0.0,-1.5
1.0,-0.5
0.0,-0.5
35.5,32.0
1.5,3.0
7.0,8.0
0.0,-1.0
-0.5,-1.5
3.5,2.0
0.5,-1.0
-0.5,1.5
2.5,1.0
1.0,-0.5
-0.5,-1.5
1.5,-0.5
-0.5,-2.0
0.5,-1.0
0.5,-2.0
0.0,-1.5
1.0,0.5
1.5,0.5
-0.5,-1.0
-2.0,-1.0
3.5,2.0
1.5,1.0
0.0,-1.0
13.5,12.5
-0.5,-1.0
1.5,0.0
-0.5,-1.0
0.0,-1.0
