BAGNACAVALLO,LUGO
7.0,6.5
5.0,4.5
3.0,2.5
0.0,2.0
1.0,1.0
5.0,5.5
1.5,1.0
4.0,4.5
6.0,6.5
3.5,2.0
1.5,2.0
4.0,4.0
4.5,5.0
4.0,5.0
8.5,10.0
4.5,4.5
2.5,2.5
21.0,21.0
2.0,2.0
2.5,2.0
2.0,1.0
1.0,2.5
3.5,3.5
3.0,1.5
