ARQUATA SCRIVIA,RONCO SCR.
5.5,7.0
-1.5,2.5
2.0,2.5
-0.5,1.5
6.0,9.5
-0.5,1.0
0.0,1.5
0.5,2.5
-0.5,2.5
-1.0,1.0
5.5,8.0
25.5,27.0
4.5,6.5
4.0,10.0
0.5,2.5
0.0,1.0
1.0,5.5
23.5,26.5
2.5,4.0
5.0,6.5
-1.5,1.5
3.0,5.5
4.0,5.5
0.0,1.5
4.0,10.0
-1.5,-0.5
2.5,5.0
2.5,3.0
4.0,5.0
2.0,4.0
2.0,4.0
2.0,12.5
10.0,13.5
3.0,7.5
-1.5,2.0
2.0,3.5
0.0,2.0
-0.5,2.5
-1.5,1.5
2.0,4.0
0.0,2.0
6.5,10.5
4.0,5.0
2.0,4.5
1.0,1.5
20.0,21.5
-1.0,5.5
1.0,1.5
1.0,2.0
10.0,11.0
7.5,9.0
0.0,2.0
-1.0,3.0
0.0,2.5
2.5,9.5
1.5,6.0
1.5,2.0
-0.5,9.5
4.5,6.5
-1.0,0.5
2.0,4.0
1.5,5.0
0.0,8.5
-0.5,2.0
2.5,4.0
1.5,5.0
-1.5,3.0
1.5,3.0
2.5,4.0
5.5,8.0
-2.0,1.5
0.5,1.0
14.0,15.5
0.5,2.5
-1.5,0.5
6.0,8.0
0.5,2.0
29.5,32.0
22.0,24.0
4.5,6.5
9.5,10.0
2.0,3.5
1.5,5.0
-1.0,8.0
-1.5,2.0
7.0,8.5
-0.5,1.0
10.5,11.5
-1.5,1.0
7.5,9.0
2.5,2.5
0.0,0.5
5.5,8.5
2.5,4.0
5.0,8.5
-1.5,1.0
0.5,2.0
-2.0,1.5
1.0,2.5
1.5,4.0
6.0,8.5
0.5,4.0
1.5,4.0
5.5,8.0
0.5,5.0
-0.5,7.0
7.0,7.5
-1.0,1.5
0.0,3.0
0.5,2.0
2.0,4.0
5.5,6.0
0.0,1.5
2.0,3.0
3.5,6.0
-0.5,2.0
46.0,46.5
1.0,3.5
4.0,4.5
