MANTOVA,S.ANTONIO MANTOVANO
1.0,0.5
1.0,-0.5
1.5,0.0
5.0,4.0
6.5,4.5
7.5,6.0
1.0,-0.5
1.5,0.0
1.5,0.0
1.5,0.0
2.5,1.0
14.5,12.5
3.5,3.5
5.5,4.0
12.5,11.5
6.5,4.5
8.5,7.5
3.0,1.5
6.0,5.5
2.0,1.0
4.0,3.0
1.5,0.0
2.0,0.0
2.5,1.0
1.5,0.5
2.0,1.0
2.5,1.5
1.5,0.5
3.0,1.0
1.5,0.0
1.5,1.0
1.0,-0.5
1.5,0.0
3.0,1.0
2.0,0.5
1.5,0.0
1.0,-0.5
1.5,0.0
4.5,4.5
1.5,0.0
3.5,2.0
2.0,0.5
2.0,0.5
6.0,4.5
3.5,2.5
2.5,1.0
2.5,1.0
1.5,-0.5
3.0,1.5
2.5,1.5
1.5,0.0
3.5,2.0
2.0,0.5
0.5,-1.0
3.5,1.0
5.5,4.5
6.5,5.0
1.0,0.0
4.0,2.0
6.5,5.0
12.5,11.0
1.5,0.0
2.0,0.5
2.5,1.0
2.0,0.0
1.0,-0.5
1.5,0.0
2.0,0.5
5.5,4.0
6.5,4.5
16.0,13.0
2.0,1.0
1.5,0.5
8.0,6.5
1.5,0.5
1.5,0.5
6.5,5.5
1.5,0.0
3.5,2.0
5.0,3.5
2.0,0.5
4.0,2.5
9.0,7.5
2.0,0.0
3.5,2.0
3.5,1.5
2.0,0.0
2.0,1.0
2.0,1.5
1.0,-0.5
5.5,4.5
1.5,0.5
5.5,4.5
1.0,-0.5
1.0,-1.0
2.0,0.5
2.5,0.5
1.0,-0.5
4.5,3.0
3.0,1.5
8.5,7.0
2.0,1.0
2.0,0.5
1.5,0.0
2.5,0.5
1.5,0.0
2.0,0.0
2.0,0.5
1.5,0.0
6.0,4.0
4.0,2.5
3.5,2.0
2.0,0.0
5.0,3.5
6.5,5.0
7.5,6.0
2.5,0.5
4.0,3.0
7.5,7.0
6.0,5.0
7.0,5.0
12.5,11.0
3.5,1.5
15.0,13.5
2.0,0.5
5.5,4.0
8.0,6.0
1.5,0.0
2.0,0.5
10.5,8.5
2.5,1.5
26.5,25.0
1.5,-0.5
2.0,0.5
2.0,0.0
1.0,4.5
20.5,19.5
2.0,1.0
1.5,0.5
1.5,0.0
7.5,6.0
30.5,29.0
4.0,3.0
3.0,1.5
2.0,1.5
2.5,1.5
2.0,1.0
3.5,2.5
3.5,2.0
2.0,0.5
2.0,0.5
1.5,0.0
4.0,3.5
8.0,6.5
2.0,1.0
4.0,2.5
2.0,1.5
3.0,2.0
