MONTAGNANA,SALETTO
6.0,5.5
2.5,1.5
1.5,1.0
6.0,6.0
0.5,-0.5
8.0,7.0
1.0,0.0
2.0,1.0
2.0,1.5
3.0,2.5
4.0,3.5
4.5,4.0
5.5,5.0
3.5,2.5
3.0,2.5
3.5,2.5
3.0,2.0
6.0,5.0
8.0,7.5
3.0,2.5
4.0,4.0
2.0,4.5
4.5,5.0
2.0,1.0
3.0,2.5
4.0,3.0
3.5,3.0
2.5,1.5
4.5,5.5
10.0,9.5
4.0,4.0
1.5,0.5
1.5,1.0
3.0,2.5
5.5,6.0
2.0,0.5
6.5,5.5
2.0,1.5
1.0,0.0
4.0,3.5
6.5,7.0
4.5,4.5
1.0,-0.5
2.0,1.5
7.0,6.0
4.5,3.5
3.5,2.0
1.5,2.0
1.5,1.0
1.5,0.0
2.0,1.0
1.5,0.0
1.0,-0.5
2.0,1.5
2.5,1.5
3.0,2.5
2.0,1.0
3.0,2.5
4.0,5.0
4.5,6.0
2.0,0.5
3.5,3.0
4.0,3.0
5.5,5.0
49.5,48.0
1.5,0.5
3.0,2.0
1.5,1.0
5.5,6.0
1.0,0.0
18.5,17.5
5.5,5.0
2.5,1.5
1.5,0.5
3.5,4.5
2.5,1.5
2.0,1.0
2.0,1.5
4.0,2.5
3.0,2.5
4.0,3.0
4.0,3.0
2.5,2.5
4.5,3.5
4.0,3.0
3.5,3.0
2.5,1.5
3.5,2.5
4.0,3.5
1.5,0.5
4.5,3.5
5.0,6.0
13.0,18.0
2.0,1.0
1.5,0.5
5.0,4.0
2.0,1.5
2.5,1.5
5.0,5.0
6.5,5.0
1.0,-0.5
5.0,4.5
5.5,5.0
6.0,4.5
6.5,6.0
2.0,1.5
2.5,1.0
7.5,7.5
2.0,0.5
2.0,1.0
6.0,5.0
1.5,0.5
2.0,1.0
3.5,3.0
2.5,1.5
3.5,3.5
2.0,1.0
8.5,7.5
1.5,0.5
34.0,33.5
5.5,5.0
2.5,1.5
1.5,0.0
6.0,7.5
3.5,3.0
5.0,4.5
4.5,3.0
