PIADENA,MANTOVA
5.0,1.5
0.5,-5.0
-0.5,-4.5
-0.5,4.0
7.0,1.0
33.0,41.0
13.5,9.5
0.5,-4.0
3.0,2.5
15.0,11.0
0.0,-2.5
13.0,8.0
3.0,-0.5
-1.5,-6.0
1.5,-3.5
4.0,-1.0
4.0,1.5
18.5,12.5
1.0,-4.5
5.0,0.5
1.0,-4.5
1.5,0.0
5.5,2.0
3.5,3.0
10.0,3.5
2.0,-1.0
10.0,4.0
19.5,24.5
7.5,1.5
11.0,5.5
5.0,0.0
5.0,1.5
32.0,28.5
11.5,7.0
5.0,4.5
10.5,6.0
3.5,-0.5
7.0,1.0
4.0,-1.0
1.0,-1.0
11.0,7.0
5.0,-1.0
2.5,-2.5
2.5,-2.5
8.0,5.0
9.0,8.0
5.0,-0.5
2.5,-2.0
-1.0,-3.0
7.5,2.5
34.5,41.5
6.5,2.0
-0.5,-1.0
14.5,9.5
3.5,-2.5
8.5,4.5
11.0,7.0
5.0,0.5
42.5,42.5
7.5,1.0
5.5,-0.5
0.5,-3.0
14.5,9.0
3.0,-2.5
1.0,-5.0
2.0,-3.5
6.0,0.5
0.5,-3.0
3.0,-2.0
1.0,-2.5
13.0,8.5
6.0,0.5
16.0,9.0
8.0,6.0
3.5,2.0
2.0,-1.5
4.0,1.0
3.5,-1.0
10.0,4.5
3.5,-1.0
2.5,5.0
5.5,0.0
-1.5,-6.0
9.5,4.5
0.0,1.5
9.5,3.0
5.5,1.0
6.5,2.0
5.5,9.0
2.5,-3.0
6.0,0.0
0.5,-3.5
2.0,-2.5
9.5,3.0
7.0,2.0
4.5,-0.5
5.0,7.5
10.5,6.5
-1.5,-5.0
9.5,10.0
4.0,-1.0
2.0,1.5
4.0,0.0
-1.0,-6.0
8.0,3.0
8.5,2.0
5.0,0.0
8.5,8.0
4.5,-1.0
5.0,1.0
9.0,9.0
8.5,2.5
0.0,7.0
8.0,2.5
-2.0,-5.0
7.5,1.5
12.0,7.0
1.0,-2.0
6.5,1.5
7.5,1.5
6.0,0.0
34.0,33.0
5.0,2.5
1.0,-4.0
9.0,5.0
6.5,0.5
5.5,1.0
2.0,-4.0
1.5,-4.5
0.5,-5.0
5.0,6.0
2.0,-1.0
2.5,-2.0
9.0,5.0
3.0,-1.5
-1.0,-6.5
30.5,25.5
4.5,1.5
2.0,-3.5
1.0,-4.5
2.5,-1.5
-2.0,-3.0
17.0,11.0
22.0,24.0
22.5,22.5
9.0,4.0
-0.5,-5.0
7.5,14.0
12.5,7.5
