PARMA,CASALMAGGIORE
0.0,5.0
0.0,4.0
0.0,1.5
0.0,3.5
0.0,2.0
0.0,5.0
0.5,16.5
0.0,2.5
1.0,10.5
0.0,11.0
0.0,3.5
5.0,10.5
0.5,3.0
0.0,1.5
0.0,4.0
0.0,7.5
0.0,3.5
0.0,3.5
0.0,4.0
0.0,4.5
1.0,6.0
0.0,4.0
0.0,4.0
1.5,4.0
0.5,4.5
0.5,5.0
0.0,4.5
0.5,4.0
0.0,8.5
0.0,4.0
0.5,4.0
3.5,9.5
0.0,4.0
1.0,7.0
0.5,5.0
0.0,5.5
0.0,4.0
0.0,2.5
4.0,13.0
0.5,2.5
0.0,4.0
0.0,4.0
0.5,4.0
0.5,6.5
0.0,3.0
0.5,2.5
0.0,2.5
0.0,3.5
0.0,7.5
0.0,3.0
1.0,3.0
1.0,6.5
0.5,4.0
0.0,2.5
0.0,2.0
0.0,2.5
0.5,3.0
0.0,4.5
2.0,5.0
0.0,3.5
0.5,5.0
0.5,3.0
0.0,2.5
1.5,6.5
2.0,6.0
0.0,4.5
2.0,9.5
0.0,3.0
1.5,3.5
1.0,5.5
0.0,3.5
0.0,3.0
1.0,5.0
0.0,2.5
2.0,5.0
0.5,8.0
0.0,3.5
1.0,7.5
0.0,5.5
0.0,3.0
0.0,4.0
0.0,4.0
0.0,4.5
0.5,3.0
0.0,3.0
0.0,3.0
0.0,2.0
0.5,3.5
0.0,4.5
0.0,6.0
1.0,13.5
0.0,4.5
0.0,3.5
3.0,12.0
0.0,4.5
0.0,8.0
5.0,8.5
2.0,6.0
0.0,3.5
4.0,19.0
1.0,3.0
1.5,5.0
0.0,2.0
0.0,2.5
0.5,4.5
0.0,3.0
0.0,4.5
0.0,5.0
0.0,6.0
0.0,3.0
0.0,4.0
1.5,7.0
1.0,7.0
0.0,3.5
1.0,5.0
1.0,4.0
